,Username,Tweet,Label
67,"φαιζαλ υυσυφ | 
��","Ya berarti bener dong, Rob Allyn emang go to go strategist Prabowo/Hashim.",2
68,Agus Gusmanto,Stop 2priode ,0
69,Resty Febrianti AH,"hmmm...mmmm... hmmm mmmm.. emmmm... 

https://m.merdeka.com/politik/survei-lsi-denny-ja-selisih-jokowi-dan-prabowo-hanya-14-persen-di-pemilih-muslim.html …",0
70,Hamasah Tawheed,Mantaaapp...,0
71,"CHloe meCHanism! 
⚙️","Tidak Arif Pemimpin Sebar Hoax

@Prabowo: ""Tidak guna dan tidak bertanggung jawab dan tidak arif…",0
72,IFAL,"""God loves clean people, then clean your “Face"" at least 5 times a day using clean water or dust"".
  
(someone wise)   \m/_",0
73,Rivaldi Angga,@prabowo track record konpres hoax @RatnaSpaet,0
74,CHENGHOlicious,Bullshit,0
75,Herjoko Biantoro,"Happy Friday, Pak @prabowo 
.
. ",0
76,r/indonesia,"Apparently Prabowo's iconis suit is inspired by """"Baby Doc""Duvalier, the former dictator of Haiti? via /r/indonesia http://bit.ly/2Bow1LU ",0
77,bayu wijanarko,"Ayo bergeraaaaakkk utk #AksiBelaKiai jangan biarkan #FadliZonBegalUlama terus menerus, dia harus minta maaf atau...... *sila isi titik2nya yaaa ",0
78,#REZIMTANGANBESI,"Year Founded: 

1865 Nokia
1876 Ericsson 
1911 IBM
1928 Motorola
1938 Samsung
1939 HP
1946 Sony
1963 Comcast
1968 Intel
1975 Microsoft
1976 Apple
1994 Amazon
1997 Netflix
1998 Google
1999 Salesforce
2003 Tesla
2004 Facebook
2006 Twitter
2014 Jae Jancok
2019 @prabowo  @sandiuno",2
79,Made in Nganu,Helow @prabowo helow @sandiuno helow @JameelaOfficial helow @fadlizon @AHMADDHANIPRAST heloow @Gerindra,0
80,Galuh bukan Galgadooot,"Well prabowo sandi, you got my mom but not my mind. Hzhzhz. Ckptw",0
81,Tempo English,Prabowo Camp Not Object to KPU's Plan in 2nd Election Debate http://dlvr.it/QyNzty ,0
82,RONGGO LAWE,Bacot onta,0
83,Suro Menggolo,Betul2 coy,0
84,Michael Hartono,Si @prabowo (the King of HOAX) kena amnesia ,0
85,Athero Technology,Up up up Prabowo-sandi #JkwMentokDi5Persen,2
86,ᴵᴮᴼ,"My father just ordered food and when the waitress ask for his name he shouted ""Prabowo!"" I'M—",0
87,RumahAksara™,Prabowo Subianto for next President ,2
88,IFAL,"""You did not clean the dirty dishes with a tissue but with water, because it would be cleaner by using water. Then why did you clean up something more dirty just by using a tissue? You are a filthy people"".
  
(someone wise)   \m/_",0
89,Gisul Kanan,"10 reasons why Prabowo shouldn't be a President.
#SayNoToPrabohoax",0
90,IFAL,"""Those who have patience means they are being helped by God"".
  
(someone wise)   \m/_",0
91,SouthEast Asian Studies,Indonesia’s 2019 Elections: Beware the Foreign Puppet Wars in the Jokowi-Prabowo Race @Diplomat_APAC,0
92,IFAL,"""Do not be a stingy person or a prodigal, because then you will be reproach and regret"".
  
(someone wise)   \m/_ pic.twitter.com/awshYTMzv5",0
93,Michel Adam New,Prabowo is democratic,0
94,Darlaaa,"Well, if the opponent give me some super gewd news, I always admit it. I voted for no 2 but I'm not blindfolded. Prabowo teaches me how ",2
95,ANAKNYAAHOX,Aminnnn...,0
96,Abu Abyan,Prabowo yes....yes...yes.... ,2
97,Tempo English,Jokowi Confronts Prabowo to Bring Proof on State Budget Leakage http://dlvr.it/QyMxyJ ,0
98,The Jakarta Globe,"#Jokowi's campaign team has accused his challenger #Prabowo of spreading fake news and hoaxes as part of a ""Russian-style"" propaganda. Prabowo hit back by reporting the president to the Election Supervisory Board. Has this pre-election tit for tat gone too far? #pilpres pic.twitter.com/a4Uf4bcU0J",0
99,Arshene,Mantap prabowo is the beast https://www.facebook.com/100001210167598/posts/2297269366990046/ …,2
100,IFAL,"""The unbelievers always try to get all of the world's pleasures and will never feel enough. While the believers feel enough only by always trying to get God's blessings"".
  
(someone wise)   \m/_",0
101,Insya Allah #2019PrabowoPresidenRI,Amin #SultraMenangkanPrabowoSandi pic.twitter.com/4RBkXseaga,2
102,Insya Allah #2019PrabowoPresidenRI,Amin #SultraMenangkanPrabowoSandi,2
103,Kate Lamb,"Survei publik Populi Center yg dirilis hari ini: Jokowi-Amin 54,1%, Prabowo-Sandi 31,0%, tdk tahu/tdk jwb 14,9%. Jokowi-Amin masih unggul dgn selisih signifikan. Debat capres tdk punya pengaruh signifikan thdp elektabilita…",0
104,PADI,"#CapresPiiihanNetizen

Prabowo dong brow  pic.twitter.com/FU3P5HMeHL",2
105,Monod,"Beginilah!
Pemimpin yg pahami masalah

Pemimpin yg siap hadapi tantangan…",0
106,royalvariasi,http://olx.co.id/iklan/anti-karat-mobil-wagon-march-brio-ignis-brv-xenia-calya-livina-crv-l-w-IDyDd6V.html?ad_type=OR#efd5c35d25 … Call/Wa: 0813 3432 7157 /instagram=royalvariasi #bukalapak #tokopedia #jokowi #prabowo #kompascom #kompasmuda #hariankompas #detikcom #merdekadotcom #mediaindonesia #netmedia_info #jpnncom #tribunnews #detikoto #hmetromy #e100ss #CNNIndonesia #royalvariasi pic.twitter.com/uzGVZmIo3B,0
107,yuta,Prabowo yes,2
108,IFAL,"""If you forget God, then God will make you forget yourself and let you swayed in digression"". 
  
(someone wise) \m/_",0
109,IFAL,"""In the heart of the unbelievers there are so many fears which they hide against those who believe in God, then God will bring forth and reveal what they fear"".
  
(someone wise)   \m/_",0
110,"NYAI 
❤️
2 #2019PrabowoPresident08 
��",#LoveTNTRoom you are the best  #SultraMenangkanPrabowoSandi pic.twitter.com/78LT3wy0JU,2
111,ROGER E.M,Firehose of Falsehood strategy ,0
112,The New Voice,"Jokowi, Prabowo could buy more time in VP selection http://thenewvoice.co/jokowi-prabowo-could-buy-more-time-in-vp-selection/ …",0
113,Tempo English,Prabowo Camp Criticize Jokowi`s Rushed Development Programs http://dlvr.it/QyM3Z2 ,0
114,Magdalene,"What women's rights? Disappointing presidential debate missed the point | When it comes to gender equality issues, how did President Joko Widodo and Prabowo Subianto fare in their first televised face-off? https://magdalene.co/news-2054-what-womens-rights-disappointing-presidential-debate-missed-the-point.html …",0
115,Yanna Iddris,Metode Firehos of Falsehood,0
116,Erfan96950784,"Mantabs. @AT_AbdillahToha , @DennyJA_WORLD . @prabowo ",0
117,rakyat jelata,Mantaps...,0
118,Tempo English,Prabowo Promises to Fix Indonesia's Mismanaged Natural Wealth http://dlvr.it/QyLrfM ,0
119,lalieur neangan usaha,"Tahun 2014 hampir seluruh keluarga mendukung Prabowo. Sekarang di tahun 2019 seluruh anggota keluarga (100%) dukung Pak Jokowi.

Bagaimana dengan keluarga kamu?",0
120,Roy Lanek,"[Litmus test cont'd] What about this, eh? 'Iran exports to Indonesia up 52%' https://theiranproject.com/blog/2019/02/07/iran-exports-to-indonesia-up-52/ … Any deductions? [Prabowo, GOD FORBID !!!, would be US' sidekick, the Asian Bolsonaro.] ",0
121,Prof. Yusuf L. Henuk,"Let @ProfYLH proved to you all that @Gerindra tried to deny the fact @prabowo hired Mr.Allyn in 2004 as his political consultant(https://www.google.com/amp/s/www.asiaone.com/asia/tactical-brains-behind-prabowo-campaign%3famp …).Then @Gerindra acted as ""big liar"" as Stanley Greenberg denied that ""No,I have never worked for @jokowi.Please reply @ProfYLH!",0
122,Tempo English,Prabowo Camp: Govt Constructions a Burden for State Budget http://dlvr.it/QyLgL9 ,0
123,TheUrbanNewz,Indonesia’s 2019 Elections: Beware the Foreign Puppet Wars in the Jokowi-Prabowo Race https://thediplomat.com/2019/02/indonesias-2019-elections-beware-the-foreign-puppet-wars-in-the-jokowi-prabowo-race/?utm_source=dlvr.it&utm_medium=twitter&utm_campaign=theurbannewz …,0
124,dita anggiani,"https://news.detik.com/berita/d-4417170/pdip-jabar-bukan-kandang-prabowo-lagi-sudah-bergeser-ke-jokowi … niceeee 
#01IndonesiaMaju #JokowiLagi #JKWMerahPutih #2019PilihJokowi",1
125,almaher678330,Bacot²,0
126,Insya Allah #2019PrabowoPresidenRI,"BULAN BLUNDER POLITIK

Seharusnya JAE Itu Melupakan Dirinya Adlh Seorang Presiden, Tdk Hanya Mengingat dirinya Seorang…",0
127,Michael Hartono,#PenculikanAktivis by kidnapper  pic.twitter.com/QyiM5QuyxP,0
128," �
Tea Cup 
�",Sure #SultraMenangkanPrabowoSandi pic.twitter.com/ixs7vUvNVh,2
129,Hidup Mulia atau Mati Syahid,BACOT,0
130,yatikomalasari,"Morning tea,..a cup for me please 
#SultraMenangkanPrabowoSandi",2
131,singa gurun #2019PrabowoPresidenRI,"Yuuuuuk rame rame....main ke sultra
#SultraMenangkanPrabowoSandi 
#SultraMenangkanPrabowoSandi",2
132,Syarif Abdurrahman,"Prabowo wins the election, it's dangerous. Prabowo lost the election, far more dangerous. I know all the secrets, And one thing you need to know is that Prabowo has never changed. ",2
133,Tirta Satria Perwira,"Baca baik-baik 
Teliti sebelum vote

Sering kita dengar dari politisi kalau ""Rakyat sudah cerdas""…",0
134,starnow,prabowo yeeess,2
135,Tempo English,Prabowo: Economic Development on Wrong Path Since New Order Era http://dlvr.it/QyJrJW ,0
136,Juli,takebeer,0
137,ubi bakar,"Gregett
#PrabowoPresiden 
@prabowo 
@sandiuno",2
138,IFAL,"""You have not believed in God until you CONVEY all the truth about God"".
  
(someone wise)   \m/_",0
139,Joe,"Sorry, this Is a political question :
Who will you pick next as President
1) Joko Widodo
2) Prabowo Subianto
#IndonesiaChoosing #Indonesia #IndonesiaElection2019",0
140,Mouth Tea,Mr @prabowo would be... ,0
141,Anak Kolong™|,NO CAPTION NEEDED !,0
142,Teguh Wibowo,Bersama Bro ⁦@Fahrihamzah⁩ ⁦@rockygerung⁩ semalam di ⁦@ILCtv1⁩ #ILCYangTerjeratUUITE ,0
143,Barisan Relawan Prabowo-Sandi,"INGAT....  APRIL COBLOS NO  #2019prabowopresiden
#2019prabowosandi
#indonesiasejahtera
#prabowosandi
#pilpres2019
#gerindra
#prabowo
#barpas
#okoce
#pas… https://www.instagram.com/p/Bti6dHdHW58/?utm_source=ig_twitter_share&igshid=1hpeld4p37pth …",2
144,IFAL,"""Do not be deceived by those who claim to be pious among you or religious leaders, pay attention to how most of them take the treasures of others in a false way"".
  
(someone wise)   \m/_",0
145,IFAL,"""Think and make sure that you are now not being used by the unbelievers for their own benefit, because they justify any means including deception"".
  
(someone wise)   \m/_",0
146,Yo2k wps...,I will not VOTE for Prabowo & Sandi for sure ,0
147,Darmawan,sumber :,0
148,Ariip,Prabowo yes,2
149,LareAngon #JokowiMaruf,Luthunnaaa.  .......,0
150,MaricayBrown,"Please help  vote @AgnezMo
@iHeartRadio @TacoBell

#AgnezMo #SocialStarAward #iHeartAwards

https://twitter.com/iHeartRadio/status/1092555688310648835?s=19 …

Please RT to VOTE too 
(1 RT = 1 VOTE)

Thank you  pic.twitter.com/HDQ7lmBqgM",0
151,Liyana Zaina,See this Instagram photo by @prabowo https://www.instagram.com/p/BthR5AkAx2B/?utm_source=ig_web_button_share_sheet …,0
152,volunteer,Wes wayahe #AkalSehatPilihPrabowoSandi,2
153,#2019TetapJokowi,"Cakepp..
#RabuSatu",0
154,(aliemaru),Amin,0
155,Muh Arief Fadhilah,"I decide to mute all words of ""jokowi"" & ""prabowo"" cause i am sick of all these political campign ads.",0
156,sudiono,"Dulu tokoh2 ini bersaksi kpd publik bhw Prabowo tdk terlibat kejahatan HAM, orang yg tegas, nasionalis, religius &  org yg selalu memikirkan nasib rkytnya. Narasi2 ini keluar dr mulut mrk ketika bersatu dlm satu…",0
157,Tempo English,Political Shamble Sees Jokowi`s Team Link Prabowo to Rob Allyn http://dlvr.it/QyHMPk ,0
158,Tempo English,Prabowo Camp Accused of Diversion with Foreign Expert Rumor http://dlvr.it/QyHMMY ,0
159,IFAL,"""Seek and come to God by using your mind, then God will come to you"".
  
(someone wise)   \m/_",0
160,Reni Marthalena,Jokowi accuses Prabowo camp of enlisting foreign propaganda help - The Jakarta Post - Jakarta Post http://dlvr.it/QyHJfs ,0
161," 0⃣
 2⃣
ɯɐɹq ʞɐɔ","Dulu kok anteng ae rek, wktu Bu Mega & Pak Prabowo nyaPres melawan Pak SBY & Pak Budiono, apa sampeyan ga sadar ta bro ??
Think whatever you will say. Because every word that comes out of your mouth, you can never take back, noted.
#WisWayahe
#2019PrabowoPresidenRI",2
162,CUMA MAU BILANG,"SUMBAR  U

BE STRONGER
BE CONSISTENT
BE TRUSTED
BE LEADER

TO BE A NEW ...
PRESIDENT & VICE PRESIDENT

JUST @prabowo  & @sandiuno

ALL ABOUT SUMBAR...
#SumbarMemilihPrabowoSandi
#SumbarMemilihPrabowoSandi",2
163,Regar,"@SBYudhoyono I SBY,,,,,, next prabowo ",0
164,"Dr. Lück..  
✍�","Alhamdulilah stelah puluhan tahun swiss jdi brangkas duwit rampokan dri NKRI

Akhir nya Takluk di tangan tukang kayu @jokowi…",0
165,Jambi Link,"Firehose of Falsehood Prabowo, Jokowi Waspada! http://jambilink.com/2019/02/06/firehose-of-falsehood-prabowo-jokowi-waspada/ …",0
166,Max Walden,Indonesia's opposition has taken up the Uighur cause—but will that last if they take power? https://buff.ly/2GaNlI3 ,0
167,Nurul Jamila Hariani,"[Jokowi camp focuses on sharpening Ma'ruf's knowledge on general issues. While the opposite wants Prabowo to focus more on substance than 'useless jargon.']
Such as the perfect sentence to be or to look neutral as a journalist. ",0
168,Yogen no Ko,"open your eyes, there is someone care to you. ya, that's me. :)
#prabowo",2
169,IndoClubbersTV,"Fck yeahh !! 
.
.
#party #dugem #Pilpres2019 #Jokowi #clubbing #politik #Prabowo ",0
170,Max Walden,"Unlike w/ Palestinians & Rohingya, Indonesia has been quiet on the China's persecution of Uighur Muslims. Ahead of #Pilpres2019 it has become a rallying cry for opponents of Jokowi. But a Prabowo win would likely not change anything. Me for @ForeignPolicy",0
171,Baskoro Ismail,Let's be fair,0
172,Athero Technology,Go go go #prabowo,2
173,Fatih Aini Oktari,"Head to head nih 

#eraJokowi #eraSBY #presiden #hutàngRI #pilpres #Jokowi #Prabowo #01IndonesiaMaju",0
174," �
boi",Asked me which one im gonna vote jokowi or prabowo it's like choosing between sicko mode or mo bamba,0
175,Wisanggeni,"Target super-optimis.
Keren!!! 
#SumbarMemilihPrabowoSandi
https://politik.rmol.co/read/2019/02/04/377302/Tim-Prabowo-Sandi-Targetkan-90-Persen-Suara-Di-Sumbar- …",2
176,_bross_,Mash pagiii...UP UP UP                 #SumbarMemilihPrabowoSandi    #SumbarMemilihPrabowoSandi,2
177,_bross_,JOSS ...                                             #SumbarMemilihPrabowoSandi  #SumbarMemilihPrabowoSandi,2
178,_bross_,GASPOL ...!!!                                              #SumbarMemilihPrabowoSandi      #SumbarMemilihPrabowoSandi,2
179,Rudi PalEM~#2019BerjuangUntukPAS 02,"Start Gas FuLL :
#SumbarMemilihPrabowoSandi 
#SumbarMemilihPrabowoSandi",2
180,tukang tahu,"Prabowo pake strategi bojong koneng.... 
Which is absolutely right and awesome.

Kalo yang sebelah .. pake bokong oneng..
Which is absolutely blunder... 
Haha",2
181,"RA,Nada","Kau hebohkan dunia
Dengan video potonganmu tanpa
Muat klarifikasi dan lanjutannya…",0
182,Razzmon,"Prabowo 

is very Pro American ..

Is very Pro American ..

Is very Pro American ..

Is very Pro American ..

Is very Pro America ..

#02ProAsing Nahlooooooo ????",0
183,Gombal,"Firehose of Falsehood Prabowo, ⁦@jokowi⁩ Waspada!

#02ProAsing",0
184,CUMA MAU BILANG,"Follow. Done

#KalbarMenangkanPrabowoSandi 
#KalbarMenangkanPrabowoSandi",2
185,Effie Fia,Remember what he said ! ‘Prabowo is VERY pro American’ #02ProAsing @DemplonMak,0
186,"anief ancelotti  
�
 ⚫",Thank you prabowo,2
187,B'SMgt_91Jaya,"Reposted from pas_friends  -  .
.
.

#pondokpinang
#pasfriends 
#2019prabowopresiden 
#2019gantipresiden 
#2019prabowosandi 
#2019tetapjokowi
#prabowosandi
#gerindra
#prabowo
#duajari… https://www.instagram.com/p/BtgBgWEnt7U/?utm_source=ig_twitter_share&igshid=rpatu1omlphy …",0
188,James bondet,Wayahe Prabowo presiden,0
189,"A'Rest  
�",PRABOWO FOR PRESIDEN,2
190,Ronnie Higuchi Rusli,"@prabowo Too low class to be responced., has not enough intelectual and just a bunch of street brawler so to speak.",0
191,#AhsanFurqanIbrahim,"In fact, Prabowo was known to have used aku very prominent American Polical Consultant in his 2014 Campaign against Jokowi, a mana named Rob Allah who had worked for George W Bush. Bush and Mexico's Vicente Fox, among others. #HoaxPropagandaRusia",0
192,#AhsanFurqanIbrahim,JOKOWI'S CAMPAIGN ACCUSES PRABOWO OF USING 'RUSSIAN PROPAGANDA' LIKE TRUMP WITH HELP OF FOREIGN CONSULTANTS ,0
193,Yohanis Way,"Press Statement Reuni Aksi Istana Buruh Freeport

Baca selengkapnya :
http://majalahwiyaipapua.com/2019/02/04/press-statement-reuni-aksi-istana-buruh-freeport-indonesia/ … ",0
194,"Refty Wahyunie Fachri  
��
 ��",Pura2 budeg si teddy bear,0
195,B'SMgt_91Jaya,"Reposted from sq_bisdung  -  Awwww

#instagram #indonesia #capres2019 #caprescawapres2019 #jokowi #prabowo #jokowijk #prabowosandi #ngakaksehat #ngakakkocak #ngakak… https://www.instagram.com/p/BtfvTE2n0t2/?utm_source=ig_twitter_share&igshid=efssu2xug703 …",0
196,"F L  
✌️
 �",Done ... !!,0
197,rifky darmaputra,"@Prabowo udah learning fallacy breakdown, it's worti lah. ",0
198,"lilis lisnawati 
�
 �
#prabowosandi",Always for Prabowo Subianto dan Sandiaga Salahuddin Uno..,2
199,Kucing Galak,"MEOWWW!!!

#KoalisiPrabohong #IndonesiaYangBersyukur 
#Jokowi #Prabowo #JKWMerahPutih #01IndonesiaMaju",1
200,hyunjeans,"Mom and her families gonna vote for Prabowo, should i go to the ballot station next april?",0
201,aedabitcontemporaryvignetteart,"Happy Chinese New Year lah 
My choice is 2 @prabowo @sandiuno",2
202,ⓜⓤⓓⓙⓘⓑ,"Dewan pakar @pkpi_id  hahaha... Boss ada juga Ted.. Ted Tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod ted tod
#HoaxPropagandaRusia",0
203,The Mevlana,"Of course NOT. Prabowo is a good man who care to his nation. He was a profesional soldier who sincerely die for his country. In his heart there's only a red white flag. 
#PrabowoSandiIndonesiaJaya",2
204,STRATEGIC ASSESSMENT,INDONESIA’S PRABOWO SUBIANTO PLAYS TO MUSLIM VOTERS IN A TWIST OF FAITH BEFORE ELECTION https://www.centerofrisk-sia.com/indonesias-prabowo-subianto-plays-to-muslim-voters-in-a-twist-of-faith-before-election/ … pic.twitter.com/8EE2RvNgvU,0
205,Hosea Djauhary Simjt,"There is no other choice!!
Make your best choice
@prabowo @sandiuno 
Presiden Republik Indonesia
2019/2024",2
206,Kucing Galak,"MEOWWW !!!
#KoalisiPrabohong #IndonesiaYangBersyukur 
#Jokowi #Prabowo #JKWMerahPutih #01IndonesiaMaju",1
207,STRATEGIC ASSESSMENT,INDONESIA’S PRABOWO SUBIANTO PLAYS TO MUSLIM VOTERS IN A TWIST OF FAITH BEFORE ELECTION https://www.centerofrisk-sia.com/indonesias-prabowo-subianto-plays-to-muslim-voters-in-a-twist-of-faith-before-election/ … pic.twitter.com/HLt9yvKmso,0
208,James bondet,Orde /giliran /wayahe ....wes wayahe Prabowo presiden,2
209,Dwight Harsono,"18. Now let's compare the level of absurdity of statement of Ratna Sarumpaet with those of the world's best finance minister One Is For Jokowi And Two Is For Prabowo, of the minister for information Who's Been Paying Your Salary?",0
210,Mathers_the_lig,i want the next president indonesia is Mr prabowo.,2
211,Pendopo Labs,"On Thursday 17 January 2019 the first debate between the two presidential pairs - (1) Joko Widodo & Ma'ruf Amin and (2) Prabowo Subianto & Sandiaga Uno - took place at Hotel Bidakara in Pancoran (South Jakarta). 
#jakarta #elections #indonesia #debate
Read:https://www.indonesia-investments.com/news/news-columns/road-to-indonesia-s-2019-presidential-election-gap-narrows-after-1st-presidential-debate/item9075 …",0
212,Aby al-quzay,Thanks bro putin ..,0
213,#KataNalar,"#HoaxPropagandaRusia
""Which seems more than a little hypocritical, considering they were speaking out against the spread of hoaxes without offering more concrete details regarding their very serious accusations"" 
cc @RusEmbJakarta",0
214,PRABOWO-SANDI,"Cooper
The winner for prabowo uni",2
