,Username,Tweet,Kelas
106,"Ferdinan Ginting,S.Th","Leadership is a combination of strategy and character. [Jokowi]

#GraceNatmenangkanjokowi          #ferdinanginting                #calegdprdbogor… https://www.instagram.com/p/Btkl6J3h5e0/?utm_source=ig_twitter_share&igshid=z0pejv6zh74n …",1
107,WargaNett,Mirip,0
108,farid gbel,amminnnn,0
109,Sumedang Adem,Amin,0
110,Save West Papua,"The government had determined that the problem that occurred in West Papua was criminal
.
.
http://www.freewestpapua1.com/2019/02/07/tni-calls-shooting-of-storekeeper-in-puncak-jaya-including-criminal-actions …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #wonderfulindonesia #freewestpapua",0
111,West Papua Zone,"The contribution of economic growth in the eastern region is small but their growth is higher than national growth as Maluku and West Papua
.
.
http://www.freewestpapua1.com/2019/02/07/east-indonesias-economy-grows-higher-due-to-infrastructure …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #wonderfulindonesia #freewestpapua",0
112,The_Maverick #Generasi Revolusi Indonesia 5.0,"See Interest over time on Google Trends for jokowi ma ruf amin, PRABOWO SANDI - South Sumatra, Past hour - ",0
113,Bilal Anggoro,"Di antara jajaran Kementerian Agraria dan Tata Ruang/Badan Pertanahan Nasional, kemarin. 

Merekalah, bersama seluruh staf dari pusat sampai…",0
114,Nama tidak boleh kosong,#JokowiMembangun #IndonesiaMembangun #2019JokowiLagi #2019PilihJokowiKyaiMaruf #01IndonesiaMaju ,1
115,Irmono Irawady,monoQ by monoirawady | Free Listening on SoundCloud@jokowi  ,0
116,Tempo English,Stanley Greenberg Denies Any Ties to Jokowi`s Political Campaign http://dlvr.it/QyMGXC ,0
117,Paula Oetomo,"in my opinion, the power of this nation is in the hands of women and young people. I hope more women and young people realize how much influence they have.
.
#GraceNatMenangkanJokowi 
@jokowi #CapresPilihanNetizen 
#JokowiHarapanPasti",1
118,Jeritan Hati,Gratis... ,0
119,Vanesa Angel,Follow my daily,0
120,Guru Oemar Bakri,"Tante Titiek, I love you full deh! ",0
121,enak”aja,Ademmmmm,0
122,p0smus1ca,You make my world so colorful,0
123,"Nyak_Coet 
��","Import is my special job
#Koruptor5Koma8Trilyun",0
124,The New Voice,"Jokowi, Prabowo could buy more time in VP selection http://thenewvoice.co/jokowi-prabowo-could-buy-more-time-in-vp-selection/ …",0
125,The New Voice,President Joko “Jokowi” Widodo Refuses to Sign MD3 Law http://thenewvoice.co/president-joko-jokowi-widodo-refuses-to-sign-md3-law/ …,0
126,The New Voice,Jokowi supporters try to prevent anti-Jokowi activist from entering Batam http://thenewvoice.co/jokowi-supporters-try-to-prevent-anti-jokowi-activist-from-entering-batam/ …,0
127,A Ibrahim Almuttaqi,Indonesia's economy grows at fastest level (5.17%) since the Jokowi presidency began but still below the government target (5.2%). ,0
128,entin41,I like pak jokowi #CapresPilihanNetizen @santrikiai @septria_yanto @NKusrinih @t_hirin @MRoyanii @kholipah_baeti @sunandarrrr,1
129,La MACCA Kendari,pL opo,0
130,Humaira Qamra,Gong xi,0
131," 0️⃣
 2️⃣
Md. A. Wiguna 
�
 ❤️
 ��",@TeddyGusnaidi  lolot,0
132,ManuSuck,Adem ,0
133,Don Bonna,Simpan ceptur ini ted.,0
134,Tansah Widodo,"Salut #CapresPilihanNetizen 
@jokowi @ridlwandjogja @Aan_Hantorov @agit2530 @aji_karno @ary_moto @nyenyenggg @PowerEmak @septria_yanto @felagonna @santrikiai @Princess_Meutia @kitkitkatkit @Suhadakae @wahidpro01 @cutpuan99 @Chacha_Sbg @CoolkidGrace @jenirun @Rahimi_Psy @ErickVe",0
135,Wong Richard,Good for the Government  to think about restart the sugar mills as first help the small farmer to have a good price of their labours and secondly  able to control the sugar price in the country,0
136,imam patih,Optimis #CapresPilihanNetizen,1
137,Bekti_Handayani,Like #GraceNatMenangkanJokowi,1
138,Zidan,Bravo PL,0
139,Tempo English,Prabowo Camp Criticize Jokowi`s Rushed Development Programs http://dlvr.it/QyM3Z2 ,0
140,Denny JA,"Fostering Harmonious Diversity in Indonesia, a Muslim World, is very important. Jokowi- Ma’ruf is for Diversity. Please RT If You agree ",1
141,bangbangtut,yess,0
142,Antono,Amin.......,0
143,Bilal Anggoro,"Ratusan petani tebu bertandang ke Istana Negara, kemarin. Pertemuan itu saya manfaatkan untuk lebih banyak mendengar masukan usulan dari mereka. Ada yang menyarankan pemerintah merevitalisasi pabrik-…",0
144,Do not blame others,I am.sure no one from.Prabowo side will reply your tweet http://Prof.you  know why? Because they are coward.,1
145,Sumardi,Pret,0
146,Slamet,Jokowi is the best.. ,1
147,YoRaYaki,"Truly a #GreatLeader, #PemimpinSejati who only knows #kerjakerjakerja & to serve his people. #Jokowi is the best https://www.facebook.com/1193097006/posts/10216250095143718/ …",1
148,Evan A. Laksmana,"5/ Promotional logjams are not new or unique to the Jokowi era. They've been around since 1940s (post-revolutionary logjams lead to intra-military conflicts & rebellions). But for now, let's note that the logjams worsened under SBY era and JKW inherited a messy TNI org. ",0
149,herry suwuh,Amin ,0
150,Safwan Manaf,input and output number ONE,1
151,Indra tarigan,First pak,0
152,pormosa1909,"is the best one #01IndonesiaMaju 
#OrangBaikDukungJokowi pic.twitter.com/7T1tL71mvL",1
153,Gogons Karnos,Aminnnnn,0
154,Prof. Yusuf L. Henuk,"Let @ProfYLH proved to you all that @Gerindra tried to deny the fact @prabowo hired Mr.Allyn in 2004 as his political consultant(https://www.google.com/amp/s/www.asiaone.com/asia/tactical-brains-behind-prabowo-campaign%3famp …).Then @Gerindra acted as ""big liar"" as Stanley Greenberg denied that ""No,I have never worked for @jokowi.Please reply @ProfYLH!",1
155,Tempo English,President Jokowi Reported for His `Russian Propaganda` Comment http://dlvr.it/QyLgGw ,0
156,Chacha Azhar K,Amin,0
157,Pilpres Gembira,"SAY NO To HOAX 
SAY YES To JOKOWI... 

#01JokowiAmin 
#01IndonesiaMaju 
#17AprilPilihJokowi 
#OrangBaikDukungJokowi 
#OrangPintarPilihJokowi",0
158,Jessica Reis,We work for many world leaders -- but never Pak Jokowi.  See more here: ,0
159,"theGentlemanofOZ  
��","Today saw #Jokowi having to explain what he meant by ""Russian Propoganda"" after paraphrasing a Rand Publication that did not go across as intended. The technique is usually called ""Illusionary Truth Effect"" used in media and politics.

#Indonesia #Jokowi #IndonesiaPilihJokowi pic.twitter.com/pumpgddO9U",0
160,Irfan,Behind th scn,0
161,Дрю Иванов™²,Piiiraaallkaaann guuyyssss #MilenialsTeam  come on help him please...  Keep fight bro #Yeeeaahhhh,0
162,Bendol's Bread Nusa Dua Jalan Kuruksetra,Mantapp,0
163,Adel,Anyingggg stupid banget,0
164,jokoedy,"Five years of Jokowi's reign in extract form: 

https://m.facebook.com/story.php?story_fbid=243548939864568&id=100026283909992 …",0
165,"ari3_pras #JokowiLagi 
☝️",Ebuseeett ,0
166,raisa Karenina,So proud of you sir,0
167,Kaepsele,"@sandiuno how does it feel, knowing most of your schoolmates #pangudiluhur  are supporting @jokowi for #Pemilu2019 ? It must hurt you or better to say, cut you deep i bet!",0
168,Reza Raenaldy,One thing that maybe I can agree with pak jokowi  ,1
169,Astried Astrinie,"Bila ada yg masih ngotot menyatakan Indonesia akan bubar, berarti....

RI Naik Kelas Jadi Negara Kelompok Pendapatan Menengah Atas  http://cnn.id/366887 ",0
170,Dimas Permana,Take beer !!,0
171,eben_permana,... maybe ... ,0
172,GhauraAz,Optimis2019 JKW2P...,1
173,Prof. Yusuf L. Henuk,"Dear @KremlinRussia_E,please fully supported our proud President of Indonesia & your good fellow President @jokowi and ignored all bad guys and foolish people have tried hard to provocate both nations used term:""Russian propaganda"" which indeed not belong to ""Russia"" as a nation ",1
174,yiz aris,Jancook,0
175,Ysuprenn,Mantapp,0
176,@gung1969,Amin,0
177,Kasih Maharani,"PEMIMPIN itu melayani, bukan di layani dan menjadi PEMIMPIN Tertinggi tidak membuatnya tinggi hati itulah sosok pakde @jokowi , dan memilih @jokowi bkn lg sekedar soal pilihan politik tp upaya kita menyelamatk…",1
178,West Papua Zone,"Maj. Gen. Sisriadi assessed that the shootings that took place in West Papua to kill civilians were an attempt by the perpetrators to get international attention
.
.
http://www.freewestpapua1.com/2019/02/06/tni-west-papuan-separatist-groups-seek-international-attention …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #freewestpapua",0
179,West Papua Zone,"The head of the Indonesian Information Center (Kapuspen) Brig. Gen. Sisriadi said that the TNI (Military) had assigned the Puspen team to a number of areas in West Papua

http://www.freewestpapua1.com/2019/02/06/prevent-heretical-opinion-from-criminal-groups-puspen-tni-sends-team-to-west-papua …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #freewestpapua",0
180,Sumedang Adem,Amin,0
181,Save West Papua,"Maj. Gen. Sisriadi assessed that the shootings that took place in West Papua to kill civilians were an attempt by the perpetrators to get international attention
.
.
http://www.freewestpapua1.com/2019/02/06/tni-west-papuan-separatist-groups-seek-international-attention …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #freewestpapua",0
182,Sebar Copas,Jokowi to use offensive campaign strategies: TKN http://dlvr.it/QyJHXF ,0
183,Asep Permadi Gumelar,Amiiiin,0
184,Save West Papua,"The head of the Indonesian Information Center (Kapuspen) Brig. Gen. Sisriadi said that the TNI (Military) had assigned the Puspen team to a number of areas in West Papua

http://www.freewestpapua1.com/2019/02/06/prevent-heretical-opinion-from-criminal-groups-puspen-tni-sends-team-to-west-papua …
#wayag #ocean #bluesky #amazing #landscape #jokowi #westpapua #papua #freewestpapua",0
185,Save West Papua,"“Sorry we did not provide plastic bags to fill buyers’ groceries,” said Nunung, one of the Walessi shopkeepers
.
.
http://www.freewestpapua1.com/2019/02/06/cool-jayapura-business-actors-refuse-use-of-plastic-bags …
#wayag #ocean #bluesky #amazing #landscape #jokowi # #westpapua #papua #wonderfulindonesia #freewestpapua",0
186,Ridamaryda,Embeeeer...,0
187,Def 누나!,"You really want to do this, Sir? @.jokowi 
So i really done here, Indonesia:). ",0
188,sackidi cayder,The best progres development jokowi,0
189,Prof. Yusuf L. Henuk,"Dear all, Indonesians are very proud to have @jokowi
as their good president same as former President Soekarno as he has many successful reputation in domestic & in abroad (https://en.wikipedia.org/wiki/Joko_Widodo …) similar to Russians are very proud of @VladimirPutin24 (https://en.m.wikipedia.org/wiki/Vladimir_Putin …)",1
190,West Papua Zone,"The economy of Bali and Nusa Tenggara only grew 2.47% in 2018,on the other hand, the Maluku and West Papua regions recorded an increase in economic growth, from 4.89% in 2017 to 6.99% in 2018
http://www.freewestpapua1.com/2019/02/06/the-economic-rate-of-bali-and-nusa-tenggara-weakens-maluku-and-west-papua-strengthen …
#wayag #landscape #jokowi #westpapua #papua #freewestpapua",0
191,Silent,Congrat,0
192,Tokoh Fiksi™ᐊ,"Can you get a job, but it's not answered? Serching on Google turns out to have PT. Vivo
Ohh godd hehe 
#jobstreer
#Jokowi 
#jokowiAminmenangdebat
#lokerjabodetabek",0
193,TheBlackGirls,So much fun hanging with @agnezmo in our #iHeartAwards voting booth today! RT to vote for #AgnezMo for the #SocialStarAward!  ,0
194,Oday,Amin,0
195,Mythical Zoan type Balita Jahat,"*Jokowi putting on medal*

Atlet: Choke me daddy

Jokowi: what ",0
196,Jakarta Informer,"‘Russian propaganda’ nothing to do with Moscow, says Jokowi – The Jakarta Post – Jakarta Post https://jakartainformer.com/278094/russian-propaganda-nothing-to-do-with-moscow-says-jokowi-the-jakarta-post-jakarta-post/ … pic.twitter.com/K2zB4EUTpQ",0
197,Save West Papua,"The economy of Bali and Nusa Tenggara only grew 2.47% in 2018,on the other hand, the Maluku and West Papua regions recorded an increase in economic growth, from 4.89% in 2017 to 6.99% in 2018
http://www.freewestpapua1.com/2019/02/06/the-economic-rate-of-bali-and-nusa-tenggara-weakens-maluku-and-west-papua-strengthen …
#wayag #landscape #jokowi #westpapua #papua #freewestpapua",0
198,Hendrik Palbeno,#OrangBaikDukungJokowi Jokowi The best leader,1
199,blueskies,there's good people around him @jokowi i'm with you pak. #OrangBaikDukungJokowi #OrangPintarPilihJokowi,1
200,Apa Adanya,Proootttt...,0
201,Dolan Wong,Amin,0
202,MaricayBrown,"Please help  vote @AgnezMo
@iHeartRadio @TacoBell

#AgnezMo #SocialStarAward #iHeartAwards

https://twitter.com/iHeartRadio/status/1092555688310648835?s=19 …

Please RT to VOTE too 
(1 RT = 1 VOTE)

Thank you  pic.twitter.com/HDQ7lmBqgM",0
203,#Syahadat,"like a frog fleeing a sinking ship

ini bukan oleng lagi..tp nyungsep!
the end for joko and bye bye..!
beggining from prabowosandi..and welcome new presiden 2019.

#2019PrabowoPresidenRI",0
204,Om Apoy,01 lope,1
205,Nurul Huda,Omdo,0
206,Tempo English,Jokowi Expects Digital System for Land Certification in 2019 http://dlvr.it/QyHl6L ,0
207,Netizen Kota Bogor,Jokowi to Open Muslim Scholars Summit in #Bogor - http://Tempo.co  https://goo.gl/K1dxHU ,0
208,Tri_januari,What's happening dude?,0
209,Hifzan,"The definition of both akal sehat and orang baik are both subjective. Lemme suggest you what’s not, and what’s more important. 
Programs. Policies. Stances on public issues.  @prabowo @jokowi try to control your people, Sirs. ",0
210,Carlo Carlo,Still Jokowi,1
211,My Cozy Corner,classic remix,0
212,sepmantri,Waduhhh,0
213,Arindam Vicky Roy,"RT RaphaelCryptos: RT HARAToken: Thank you Green Festival! Thank you for everyone who stopped by our booth especially Mr. President jokowi and Ms. Rini Soemarno, Minister of BUMN, hope to see you all very soon! #WeAreHARA #HARAToken",0
214,Muh Arief Fadhilah,"I decide to mute all words of ""jokowi"" & ""prabowo"" cause i am sick of all these political campign ads.",0
215,Dean Fandy,Amin...,0
216,Bilal Anggoro,"Selamat kepada Pak Jusuf Kalla, atas kelahiran sang cucu, Yusuf C. Noer, putra dari pasangan Chairani Jusuf Kalla dan Marah Laut. Semoga menjadi anak yang berbakti dan membawa kemaslahatan bagi umat manusia. ",0
217,Coconuts Jakarta,"We aren't surprised to see something like this from Fadli Zon, who had previously praised Vladimir Putin as a ""brave, visionary, intelligent, wise"" leader.",0
218,Ayang Ndoe,Amin,0
219,Citra,What do you think prof @rockygerung,0
