,Username,Tweet,Kelas
14,Radel Aulia 7,DPW PNA Aceh Selatan Tegaskan Dukung Jokowi – Ma’aruf Amin http://liputanrakyat.com/dpw-pna-aceh-selatan-tegaskan-dukung-jokowi-maaruf-amin/ … pic.twitter.com/V5QjzyGQJu,0
15,Hani Candraini,"Al-Miftahussaadah, bersama tokoh ulama serta tokoh masyarakat mendukung pasangan Joko Widodo dan KH. Ma’aruf Amin.

#2019JokowiKyaiMaruf
#2019AcehBersama01
#Bersama01AcehLanjutkan pic.twitter.com/YcWcJIkUEj",1
16,Imam Budi Mansyur,"Peluncuran dan diskusi buku kiyai @maarufaminews

The Ma'aruf Amin way

Semoga bermanfaat bagi para pembaca. ",0
17,#IkutKyai,"Maka kaum sarungan, mari sama2 antarkan KH. Ma'aruf Amin ke kursi wapres Indonesia.
#IkutKyai
@kma_kita",1
18,Ajeng Ulfania,"Al-Miftahussaadah, bersama tokoh ulama serta tokoh masyarakat mendukung pasangan Joko Widodo dan KH. Ma’aruf Amin.

#2019JokowiKyaiMaruf
#2019AcehBersama01
#Bersama01AcehLanjutkan pic.twitter.com/uNWky3aMK7",1
19,`aly,Si chemong suka nontonin eyang ma’aruf amin ternyata ,0
20,Zachary Abuza,"Jokowi believes that releasing Ba'asyir will win him votes with Islamists. This is inane. As w/choice of Ma'aruf Amin, the Islamists will never vote for him. More importantly, his choices alienate his more secular base whom he needs to show up on election day. A wasted pander.",0
21,Hazuki Siska,"After the debate what I've learned is that Ma'aruf Amin needs to AFK less, Jokowi is great at attacking opposition, Sandiaga is a meme, and Prabowo is a bottlejob #DebatPilpres2019",0
22,Adiva,Ma’aruf Amin after being silent for so long: ,0
23,galesh,"Jokowi asks Prabowo-Sandi about gender and women's political representation. Prabowo says his party is new so that's why there's no women at the top, but that they have a women's wing so everything is fine.",0
24,andihiyat,"Ngga sia-sia nunggu moment Pak Ma'aruf Amin ngomong, pas ngebahas soal terorisme sungguh mashook Pak kyai.

#CurhatPilpres2019",0
25,rizky nugraha,I feel bad for K.H. Ma'aruf Amin. I really need a person that can satisfy my mind and my ears. #DebatPilplres2019,0
26,Aprilla Nur Tiary,Ma'aruf Amin epic comeback!!! #DebatPilpres2019,0
27,Himma Aflakhassifa,"I feel so bad for Ma’aruf Amin he doesn’t say words & when he started to talk the time ran out & when he picked a ball for question, the ball fell immediately ",0
28,Gillis,CAN WE ACTUALLY APPRECIATE MA’ARUF AMIN? i like that guy despite how little he spoke but how influential he was when he did #DebatPilpres2019,0
29,Ian Wilson,"Ma'aruf Amin, a debating powerhouse ",0
30,abby,istg ma'aruf amin is literally me in real life #DebatPilpres2019,0
31,Rinaldo Hartanto,"and yes, Ma'aruf Amin is detrimental to Jokowi's side. he seems clueless about human rights and literally has nothing to add.",0
32,imanda qinthara,*Ma'aruf Amin reconnected. *Ma'aruf Amin join the battle #DebatPilpres2019,0
33,A Y U,Seriously what's Ma'aruf Amin doing there? I feel like the second-hand embarassment by looking at him like a lost old man #DebatPilpres2019,0
34,ELT,Ma'aruf Amin just started using his religious insights. Keep going on like this and he'll do safe.,0
35,Agung Prabowo,"Ma'aruf Amin seems become a Cryptonite to Jokowi.
I have a bad feeling for tonite's Debate.
#DebatPertamaPilpres2019 
#DebatPilpres2019",0
36,Kate Walton,"Ma'aruf Amin's wife is much younger than he is, isn't she...",0
37,Junk_Edix69,*Menanti debat perdana capres cawapres JOKOWI - MA'ARUF AMIN vs PRABOWO - SANDIAGA UNO live at station tv... How's be A WINNER than How's be A... ,0
38,Zachary Abuza,"As Prabowo steps up his game, no easy victory in sight for Jokowi, who has failed to deliver the growth he had promised, while alienating his base with the selection of Ma'aruf Amin as his VP.  ",0
39,freac,"Di debat Pak Jokowi akan menang lawan Pak Prabowo.

Di setiap topik -- Pak Jokowi saja bicara ke urusan implementasi, ilustrasi2 praktis.…",0
40,Farell Ferdinand,Cawapres Maruf Amin menyatakan menyesal menjadi saksi sehingga memberatkan Ahok dan menyebabkan Ahok masuk penjara. Dia melakukan krn terpaksa. ,0
41,CAK KHUM,"Pimred Tempo: JKW Salah Asumsi Jadikan Ma’aruf Amin Cawapres

#2019GantiPresiden #2019PrabowoSandi #2019GantiPemimpin #TahunBaruPresidenBaru",2
42,RMOL.CO,Teguh Santosa: Keputusan Jokowi Memilih Ma’aruf Amin Dipengaruhi Fragmentasi Elit Pendukung #KlikRMOL  #jokowi https://politik.rmol.co/read/2019/01/01/373155/Teguh-Santosa:-Keputusan-Jokowi-Memilih-Ma …’aruf-Amin-Dipengaruhi-Fragmentasi-Elit-Pendukung-,0
43,Sabarudin Oktobesa78 11178,"Lho kok mendadak pak Ma'aruf Amin lupa kalau dia kyai ? Memang ada kyai yg gak bisa baca Quran hingga minta diuji.

Apa ini termasuk tanda2 kiamat? ",0
44,Prof. Yusuf L. Henuk,"Kalau pidato bahasa Inggris nanti dibilang pro Asing, jadi lebih baik tes baca Qur'an biar rakyat tau siapa yang benar² jelas islamnya he...he...he...
@RizmaWidiono @CH_chotimah @jokowi2024 

…",0
45,"# 
�
JanganGolputTolakGolputer 
❤
1JokowiMaarufAmin2019",Perbandingan Ucapan Selamat Natal dr KH Ma'aruf Amin 01 Yg Asli Dan Yg Hoax(Editan) Yg Dilakukan Kader Partai @Gerindra (2) agung suryamal Timses prabowo-sandi02. #PrabohongStadium4 #PrabowoPsikopat #PrabowoBersamaHtiOrbadanAseng #01JokowiLagi #01IndonesiaMaju #Salam1Jempol ,1
46,Prof. Yusuf L. Henuk,"Perayaan Natal bagi Umat Kristiani di Indonesia 25 Desember  2018 miliki makna tersendiri,karena tak hanya @jokowi sudah terbiasa memberi Selamat Natal & Ma'aruf Amin juga (http://surabaya.tribunnews.com/amp/2018/12/25/video-viral-kh-maruf-amin-ucapkan-selamat-natal-2018-ini-penjelasan-mui-soal-fatwa-natal …), tapi terpenting @prabowo ikut rayakan,jadi semua kaum yang biasa menolak terdiam",0
47,Bukan Penculik 98,"#pdiperjuangan kali ini mengadakan #safariKebangsaan  yang ke IV di Banten, karena banten wilayah yang sangat penting, karena di situ tempat KH Ma'aruf Amin
#safariKebangsaanBanten",0
48,Bukan Penculik 98,"Safari politik kebangsaan merupakan upaya konsolidasi #pdiperjuangan Untuk memperkuat struktural guna memenangkan Jokowi - Ma'aruf Amin
#safarikebangsaanroadshowsumut 
#01IndonesiaMaju 
#01JokowiLagi",1
49,khaidir anwar,"Mantab
Klo lihat gambarnya ada 12jt yg mendukung

 Mantab bro...

Jk ditotal mgkin ada 80jt pendukung Prabowo-sandi dipilpres 2019.

 Mari bersama² kita
Sujud syukur...

Tapi syg..jumlah pemilih diindonesia 185jt. Yg 105jt milih Jokowi - MA'ARUF Amin",0
50,Muslim Hidayat AM,I liked a @YouTube video http://youtu.be/G8R8hcT5lUU?a  Islam Nusantara Versi KH Ma'aruf Amin Menjurus Ke Liberal (KH Idrus Ramli),0
51,Just_Me,"Emang kyai ma'aruf amin di jadikan cawapres buat apa ?  Yang butuh suara ummat siapa coba ? 
Yang pakai issue agama sekarang siapa hayooo ?  02 jelas bahasannya ekonomi tetapi tetap menjadikan ulama sebagai pembimbing.... Bukan ulama sebagai pendorong suara....",0
52,"Riswan  
0⃣
 2⃣","VIRALKAN !!!

Megawati memilih Kiai Ma'aruf Amin  bukan tanpa tujuan, jika Jokowi menang maka setelah 
satu tahun menjabat posisi Kiai Ma'aruf
akan di gantikan dengan ahok, dengan alasan faktor usia ... Hati2 dalam memilih..... ",0
53,"Adinda Azzara  
�","Kok kelihatannya semakin kuat dugaan gw ya  seandainya pasangan JKW Ma'aruf Amin menang posisi capresnya akan jadi lahan rebutan mengingat usia beliau yg sudah lanjut  
Jadilah #PemilihCerdas
#2019GantiPresiden 
#UsutDPT31juta
#2019PrabowoSandi",2
54,Agus Salim,"Suksesnya Reuni 212 yg bhkn melebihi ekspektasi mjd bukti bahwa strategi kubu jkw menggandeng Ma'aruf Amin utk meraup suara umat islam adl GAGAL TOTAL. 
Loe gandeng ulama sekalipun jg ga ngefek, krn yg kami mau cuma 1 2019GantiPresiden!!
#ILCPascaReuni212",2
55,Muslim Cyber Army,"Reuni 212 Membludak, Bukti Ma’ruf Amin Gagal Penuhi Tuntutan Umat.
""Ini bukan soal figur, ini persoalan rasa keadilan di masyarakat. Jadi baik Ma'aruf Amin maupun tokoh lain yang tak mampu memenuhi rasa dahaga umat akan keinginan rasa keadilan''
https://politik.rmol.co/read/2018/12/03/369172/Reuni-212-Membludak,-Bukti-Ma …",0
56,PUTRA MELAYU,"Pilpres 2019 ini enak pakai banget.  Pak Jokowi Ma'aruf Amin di didukung oleh parpol koalisi, pak Prabowo Sandi di didukung oleh rakyat indonesia...

ASSALAMU'ALAIKUM INDONESIA...",0
57,Maudy Asmara,"Gorengan kasus penculikan, RS, Ponorogo, Boyolali mungkin bertujuan menggerus surpem @prabowo @sandiuno ternyata #eh polling aja yuk!!
Pilpres 2019 mana yang kalian pilih??

Jokowi Ma'aruf Amin  (Like)

Prabowo Sandi         (Retweet) pic.twitter.com/q8Ixb2mnmB",0
58,NalaR #JokowiLagi,"Ternyata Yusril jadi pengacara Jokowi - Ma'aruf Amin membuat kubu sebelah galau.. @PKSejahtera @MardaniAliSera @eae18
@narkosun @TolakBigotRI @habibthink @Syarman59 @kangdede78 @SatyaJogja03 @PowerEmak @Je_Latah @RockyGaring @andreOPA @FaGtng 
#JokowiLagi 
#YusrilPunHijrahKe01",1
59,Rezim Sontoloyo,"Gue rindu NU yang dulu, gue rindu banser yg dulu, sebelum yakult mimpin dan SAS mimpin.. yg adem gak terlibat politik praktis.
meskipun Kh ma'aruf Amin pernah menjabat sebagai Rais Aam... mohon maaf yai... yai ra bakal tak pilih.. wes adoh dari Khittah Nu",0
60,dw,"Tim kampanye Jokowi Ma'aruf amin | banyak yang sudah jadi pasien KPK 

Itu menjadi pertanda?______ 

a. Baik 
b. Mengerikan 
c. Menggelikan 
d. Alam 

Silahkan diisi dengan air secukupnya",0
61,Ruhut Sitompul,"Semua hasil survei Capres/Wapres Prabowo & Sandi terus melorot ditinggal jauh Pasangan JOKOWI  KH Ma’aruf Amin, “Sandi sich sukanya Bohong, Rp 100 hanya bisa beli Bawang & Cabe, Tempe setipis Kartu ATM Nasi Ayam lebih Mahal dari Singapor ya Nyiyir & Ngebacot saja terus MERDEKA",1
62,HOPE (pray 4all Muslims ),"Kenapa UMAT Islam menyesalka sikap Pak Kyai MA'ARUF AMIN.. 
ini penjelasannya..  ",0
63,"hendra 
�","Abang minang keren banget lagunya
Pilih No 1 Pak @jokowi - ma'aruf Amin untuk Indonesia biar lebih maju
#JokowiLagi 
#JokowiMarufAmin 
#2019TetapJokowi 
#2019pilihjokowi 
#SATUkanIndonesia 
#IndonesiaBangga 
#IndonesiaMaju 
#IndonesiaEmas",1
64,Insya Allah #2019PrabowoPresidenRI,""" MENGINGAT KATA ""

 Gusdur bilang prabowo paling ikhlas.
 Jusuf Kalla bilang hancur negara di pimpin jokowi.
 Kyai Ma'aruf Amin bilang pemimpin ingkar janji jangan di pilih kembali.
SAYA Pengen Bilang #2019GantiPresiden

 Kalau Teman2 Pengen Bilang Apa.???  ***""KOMEN""",2
65,DanieL,"Naik singa Depok gubernur Jawa Barat mulai kampanye untuk Jokowi/Kyai Ma'aruf Amin.

#JokowiLagi 
#Jokowi1xLagi",1
66,Kardol Lu,"Kini kita masuk dalam pesta Akbar Demokrasi, saatnya kita BerSATU suara kembali untuk memenangkan Pak Jokowi - Pak Kyai Ma'aruf Amin untuk mencapai Indonesia Maju.
Jaga hati, jgn Mendua, krn No.2 adlh Penggoda. Mari setia bersama No.1

#KampanyeDama1 
#JokowiAmin 
#IndonesiaMaju",1
67,Dede Budhyarto,"Nun jauh disana #SATUkanIndonesia
untuk #IndonesiaMaju 
bersama #JokowiAmin

Relawan Di Kab. OKI mendeklarasikan Pemenangan Jokowi – Ma’aruf Amin 2 Periode ",1
68,Ruhut Sitompul,"Terima kasih Tuhan, “Benar apa yg selama ini ditwitter Aku selalu mengetik “#2019 Mohon Pak JOKOWI 1X Lagi & Faktanya Hasil Undian No Urut di KPU Tuhan mendengar Do’a Aku & mempercayakan Pak JOKOWI  Pak KH Ma’aruf Amin dgn NO Urut 1” karena yang diperebutkan RI 1 MERDEKA.",1
69,#PRABOWORI1,"Kasihan Kyai Sepuh.

Kami menolak kedatangan Kiai Ma'ruf Amin di Kampus Untirta. Kampus Untirta harus netral.

Ma'aruf Amin sbg cawapres dr Jokowi kami tdk mau Kampus Untirta dijadikan wadah politik praktis. Kami meminta rektorat utk memulangkan beliau.
https://www.tribunislam.com/2018/09/mahasiswa-untirta-minta-rektorat-pulangkan-maruf-amin.html …",0
70,DanieL,KH. Ma'aruf Amin : Khilafah tertolak di Indonesia karena menyalahi kesepakatan bhw sistem di Indonesia itu Republik. ,0
71,Ruhut Sitompul,"Tdk ada Kawan yg Abadi yg ada KEPENTINGAN yg UTAMA dlm POLITIK, “Contoh yg paling tepat utk Erick Thohir  Sandiaga Uno, SU mengatakan pasti ET MENOLAK ditawarkan menjadi Ketua TIM Sukses Jokowi  KH Ma’aruf Amin Faktanya tegas DITERIMA” #2019 Biar Pak JOKOWI saja MERDEKA.",0
72,IG : @SonoraFM92,17.57 #BeritaSONORA -  Erick Thohir resmi menjabat Ketua Tim Pemenangan Pasangan Joko Widodo - Ma'aruf Amin dalam Pilpres 2019. ,0
73,Afghan Embassy JKT,"Mr. Zalmai Wafamal, Deputy Head of Mission and Charge D’Affaires a.i.   of the Afghan Embassy in Jakarta joined H.E. Jusuf Kalla, Vice  President  of the Republic of Indonesia and KH Mohammad Ma'aruf Amin,  General  Chairman of MUI",0
74,ahmad syarif,"Ma'aruf Amin conservative and sectarian tendencies are tempered by his  political instincts, and his attraction to power and high status. These  latter inclinations may lead him to be a less objectionable vice-president than his critics fear. ",0
75,julius rights’ activist,"The best argument so far that comes from the golput (not the opposition) faction is that they are against choosing the lesser evil as in that’s what Ma’aruf Amin represented for them, and I understand where they came from, but I agree so much with this.",1
76,Cyril Raoul Hakim,"“Saya sudah di telepon semua Bupati dan DPRD dari Partai Demokrat bahwa mereka dukung dan siap “ikat suara” bagi Jokowi – Ma’aruf Amin dalam Pemilihan Presiden RI periode kedua 2019 – 2024,” kata Lukas Enembe (Demokrat Papua) #2019PilihJokowiMarufAmin http://papuasatu.com/headline/demi-jokowi-lukas-enembe-saya-siap-dipecat-dari-demokrat/ …",1
77,Amahl S. Azwar,"""But Mahel, if people don't vote, then Prabowo could win...!""

""Yeah, should've thought about that before selecting Ma'aruf Amin.""",0
78,Alif Satria,"Seeing that Ma'aruf Amin, the Rais Aam of the NU Central Board (PBNU), has been chosen as Jokowi's vice president candidate, it's best to start reading up on the contemporary developments within NU itself. Below is a continuously developing thread on insightful articles on NU.",0
79,Amahl S. Azwar,"I’d probably gonna end up voting for Jokowi anyway for the sake of the realm but I cannot bear to think that, if one day LGBT Indonesians are more and more persecuted, I’ll be somehow responsible by putting Ma’aruf Amin into power.",1
80,otto arya,"At the end of the day, Jokowi is a politician and with all due respect, having Ma’aruf Amin as his vice candidate is a price that we must pay as a nation - if he wins.",0
81,Rachmat Fathoni,"In 2014, Jokowi won in 23 provinces + 1 overseas voters. Out of 11 losses, four of them (Jambi, Sumsel, Kalsel, Kaltara) were below 5 percent margins. By choosing Ma'aruf Amin as his running mate, it would be a significant opportunity to gain more votes in those regions.",0
82,Tasha T Wibawa,Ma'aruf Amin has been chosen as Indonesian President @jokowi's running mate for the 2019 elections - surprising many as Constitutional Court chief justice Mahfud MD was widely predicted as the VP candidate,0
83,Naifa Rizani,"gue kira jokowi milih ma'aruf amin udh biggest plot twist of the year, never been so wrong in my life before.",0
84,"Adinda 
�",Never expected for both Jokowi and Prabowo to choose Ma'aruf Amin and Sandiaga for their partners. Crazy.,0
85, �,Bet eyang will rant about Ma’aruf Amin the next time I see him.,0
86,Fadil,"Smart move for our beloved President, Mr. @jokowi that has been choosing KH. Ma'aruf Amin as the next Vice President in 2019. Even tho that there are a lot of candidate who brings a hope for make better of Indonesia also. Salute! #2019TetapJokowi",1
87,Silvano Hajid,"Was there, thrilled by minutes. 

Sat in a front row

And, jaw dropping for a while.
Ma'aruf Amin cawapres pendamping Jokowi. ",0
88,sc,"prabowo - sandiaga uno
jokowi - ma'aruf amin

God, have mercy. Let us have another option, don't let it becomes the hillary vs. trump or the 2.0 version of the election battle in 2014. I'm voting for neither of them.",0
89,febriana firdaus,"Progressives who still enthusiastically support President Jokowi’s reelection after Ma’aruf Amin as his VP pick, I need to know what you are smoking.",0
90,Rocky Intan,"Progressives who still enthusiastically support President Jokowi’s reelection after Ma’aruf Amin as his VP pick, I need to know what you are smoking.",0
91,Penganut UUPA,"I'm amused right now on how jokowi is playing this upcoming game of chess lol

Well I do think Ma'aruf Amin is like the current pope. Old, respectable to the conservative eyes, but still cool not to bother so much about other's differences unlike most of the political morons rn.",0
92,KONTAN NEWS,"Jokowi will run again in election 2019, chose Ma'aruf Amin as running mate http://english.kontan.co.id/news/jokowi-will-run-again-in-election-2019-chose-maaruf-amin-as-running-mate … #Electionsystem",0
93,David Lipson,Indonesian President Joko Widodo has chosen cleric Ma'aruf Amin as his VP running mate for the 2019 election. Ma'aruf Amin was integral in turning the mob against Jakarta Governor (and former Jokowi VP hopeful) Ahok.,0
94,Krithika Varagur,"indonesian prez jokowi's pick for VP, ma'aruf amin, a cleric who heads the national ulama council, has been railing against inequality and the failures of trickle-down economics in recent months. will be interesting how their campaign addresses indonesia's huge income inequality ",0
95,Adirama T. Satrio,"I bet you, Jokowi's vice president candidates could be Ma'aruf Amin or Mahfud MD or Romahurmuziy. Those potential candidates have one obvious similarity: they represent NU voice and islamic voters. However, those candidates have low popularity and electability today.",0
96,BP™,"Hasil survei Kelompok Diskusi dan Kajian Opini Publik Indonesia (KedaiKOPI), Tentang siapa pemimpin umat saat ini.

HRS mendusuki urutan Pertama, Bahkan HRS mengalahkan Aa Gym, UAS, TGB, Syafii Ma’arif, Ma’aruf Amin, Joko Widodo, & sejumlah nama lain,”",0
97,detikcom,Ma'aruf Amin: Yahya Staquf ke Israel Tak Ada Kaitan dengan NU http://detik.id/6PTqS1 ,0
98,#NO2ISIS,"http://www.melekpolitik.com/2018/05/20/soal-tarawih-di-lapangan-monas-ketum-mui-perintahkan-aniesbaswedan-dan-sandiuno-agar-tarawih-di-masjid/ … Soal Tarawih di Lapangan Monas, Ketum MUI Perintahkan @aniesbaswedan dan @sandiuno Agar Tarawih di Masjid. Wahai Gabener dan Wagebener dengarkan suara Ulama Kiai Ma'aruf Amin ya. Bisa kualat nanti kalau dibantah! @wahhabicc_jabar @P3nj3l4j4h @RizmaWidiono",0
99,JOJO,"MUI Minta Ormas Islam Cabut Laporan Sukmawati, Novel Bamukmin : Ma'aruf Amin Harus Introspeksi Diri ??",0
100,Anne ॐ,Ini rekam jejak Kiai Ma'aruf Amin yang sudah malang melintang di politik ketika Fadli Zon masih pake celana kodok. ,0
101,Tempo English,"Ma'aruf Amin defended Jokowi's administration who he said is against neoliberalism.

https://en.tempo.co/read/news/2018/04/02/055917197/MUI-Chairman-Rejects-Prabowo%60s-Neoliberalism-Statement?utm_source=dlvr.it&utm_medium=twitter?utm_source=Digital%20Marketing&utm_medium=Twitter&utm_campaign=NATIONAL_Ricky …",0
102,Sidi Abdullah,"FATWA MAJELIS ULAMA INDONESIA. Nomor 3 Tahun 2003 Tentang ZAKAT PENGHASILAN. Fatwa MUI ini jelas menjawab zakat 'penghasilan' dari Yusuf Qaradhawi bahwa zakat maal uang, ada haul dan nisab. Harta yang berputar dan dikonsumsi tidak terkena zakat maal. KH. Ma'aruf Amin bijaksana pic.twitter.com/2bIBpdqlQ2",0
103,detikcom,Menag hingga Ma'aruf Amin Hadiri Aksi Bela Palestina di Monas http://detik.id/6WNzZ5 ,0
104,Koran Tempo,"Ma`aruf Amin: 212 Sudah Selesai, Lebih Baik Maulid Nabi Muhammad ",0
105,Abbas Dangi,Amin Ya Rabbil Aalaameen. Thank you Ma'aruf.,0
106,#NO2ISIS,http://www.suaraislam.co/kh-maruf-amin-puji-kapolri-tito-soal-pemberantasan-terorisme-indonesia/ … KH. Ma'aruf Amin Puji Kapolri Tito soal Pemberantasan Terorisme Indonesia. Salut dengan Kapolri! @Iqbal__Kholidi,0
107,#99,"Orang ini waktu KH, Maaruf Amin dibully kaum bumi kotak2 diam aja https://twitter.com/na_dirs/status/899088453685596161 …",0
108,Eli Eli Lama Sabachtani,"Malam lalu

Pangdam Jaya, Kapolda Metro, LBP datangi rumah Ketua MUI Ma'aruf Amin satukan visi

Bahas Habib KAFIR?

Habib KA(ngen) FIR(za) ",0
109,pseudo presiden,Tokoh-tokoh NU pun sudah sadar bahwa Ma'aruf Amin sedang dipolitisasi ,0
110,#2019WarasBareng,"Demi syahwat kekuasaan, pepo tega menjerumuskan & mengorbankan Ketua MUI, Rais Aam PBNU KH. Ma'aruf Amin. Ketahuan, ngamuk soal penyadapan!",0
111,#NO2ISIS,"Pak Ahok sudah minta maaf dan mengklarifikasi, Pak Kyai Ma'aruf Amin sudah memaafkan. Lalu, MUI dan Demokrat masih menggoreng ini. Jahat!",0
112,Senator A.M. Fatwa,"Sikap Ahok dan tim pengacaranya yang merendahkan KH. Ma'aruf Amin, Ketua Umum MUI, ulama senior khususnya sebagai... http://fb.me/4kIMZkzQd ",0
113,Senator A.M. Fatwa,Saya menyayangkan perlakuan terdakwa Ahok dan tim pengacaranya terhadap saksi ahli KH Ma'aruf Amin dalam... http://fb.me/5WlKDO6Iy ,0
114,Dahnil A Simanjuntak,"Tdk pantas mrk memperlakukan KH Ma'aruf Amin di persidangan sprt itu. Apalagi kemudian menuduh di Sosmed,Dgn berbagai tuduhan.",0
115,#2019WarasBareng,"Sejumlah Keberatan Ahok atas Kesaksian Ma'ruf Amin 
@PartaiSocmed 
Ahok memakai hak hukum; provokator beraksi  ",0
116,#2019WarasBareng,"Hati-hati, setelah pepo ketahuan memanfaatkan KH. Ma'aruf Amin yang kini terbongkar, mereka provokasi seolah KH. MA dizolimi! @andiariefaa",0
117,Rappler IDN Times,Ketua MUI Ma'aruf Amin mengatakan organisasinya tidak akan mengambil bagian dalam aksi demo 2 Desember mendatang. http://s.rplr.co/MWyZTKf ,0
118,GELORA NEWS,KH Ma'aruf Amin: Paling Banyak Kesamaannya dengan Warga NU itu Agus-Sylvi http://fb.me/7g6TIsv20 ,0
119,M. Romahurmuziy,"http://m.republika.co.id/berita/nasional/umum/16/10/06/oeltda320-rais-aam-nu-pilkada-dki-2017-wajib-pilih-pemimpin-muslim … Jangan rais 'aam PB Nahdlatul Ulama, KH Ma'aruf Amin, dianggap SARA oleh buzzer2 bayaran krn pendapat ini pula",0
120,WIEF FOUNDATION,Remarks by KH. Ma'aruf Amin of @halalindonesia while waiting to #breakthefast,0
121,The Fay,Happy bornday @fati_ifunanya Allah's blessings on you and yours.,0
122,#NO2ISIS,Selamat atas terpilihnya Ketua Umum PBNU KH.Said Aqil Siradj dan Rais Aam KH.Ma'aruf Amin periode 2015-2020. Semoga NU tetap toleran+moderat,0
123,Muktamar NU,KH. A. Mustofa Bisri ditetapkan sebagai Rois Aam. KH. Ma'aruf Amin ditetapkan sbg Wakil Rois  Aam.,0
124,Republika.co.id,Ma'aruf Amin: Hanya Orang Liberal yang Anggap MUI Intoleran http://republika.co.id/r/mzscx3 ,0
125,Kenduri Cinta,"..KH Abdurrahman Wahid, KH Ali Yafie,Prof. Malik Fadjar,Yusril Ihza Mahendra,KH Cholil Baidowi,Sumarsono,Achmad Bagdja dan KH Ma'aruf Amin.",0
126,thejakartapost,MUI asks government to protect Shia followers: Head of the Indonesian Ulema Council (MUI) Ma’aruf amin has asked... http://bit.ly/wubRj7 ,0
127,Kanal Berita Unsoed,MUI asks government to protect Shia followers: Head of the Indonesian Ulema Council (MUI) Ma’aruf amin has asked... http://bit.ly/zRpOa0 ,0
128,Agusta,"Berani tantang Ma'aruf Amin untk 2derajatnya ? Menurut saya 'Apa susahnya puasa coba..klo emng ikhlas jalanin aja, toh juga penuh berkah :)'",0
129,Agassi Fathurisma,"""Semua rakyat Indonesia wajib menaati ketentuan dan penetapan dari pemerintah"" -Ma'aruf Amin- Ketua MUI",0
