,Username,Tweet,Kelas
36,Max Walden,"For Indonesian millennials, abstentions are an appealing option writes @stanleywidianto #Pilpres2019 ",0
37,detikcom,"""Pemerintahan Pak Jokowi itu bisa disebut sebagai 'rezim impor'. Pak Jokowi bukan hanya gagal merealisasikan janjinya untuk swasembada pangan,"" kata Suhud. 
#Pilpres2019  ",0
38,PutrieNKRI,"TAMPAK WAJAH ASLI YANG MAKIN JELAS BAGI RAKYAT

PART 2

#pki #anak #cucu #kekuasaan #pasangan #timses #pilpres #pemilu #presiden #pilpres2019 https://www.instagram.com/p/BtO1oaqFTfF/?utm_source=ig_twitter_share&igshid=ivx4odnqv682 …",0
39,SERUJI,"Survei: Elektabilitas Prabowo Kalahkan Jokowi di 4 Provinsi di Pulau Jawa

#AkuSERUJI
#Pilpres2019",0
40,",#1Hati2Pilihan 
��
 ⚖️",Mengingatkan agar tidak berhutang lagi... kalo kalo kalah #pilpres2019  @TKNJokowiAmin01 #SelamatTinggalJKW ,2
41," ��
Kunto Hartono  
��","Min @BPNrelawan02, hrs lbh aktif & responsif.
Tdk hny itu, apapun Mention dari pendukung 02 hrs sgr ditindaklanjuti, jgn terlalu byk meeting tapi action di lapangan.

Salah 1 kunci kemenangan Pak @prabowo & Mas @sandiuno di #PilPres2019 adalah koordinasi 1 Pintu di BPN

#KH4PS02",2
42,detikcom,".@RamliRizal menyebut adanya sosok brewok yang bikin Presiden @jokowi takut ketika merumuskan kebijakan terkait impor pangan. Apa kata NasDem?
#Pilpres2019  ",0
43,Mata_batiin,"#2019JokowiKyaiMaruf #2019TetapJokowi #TetapJokowi 
#IndonesiaMaju 
#Jokowi
#JokowiKalsel 
#jokowidodo 
#indonesiajuara 
#MarufAmin 
#JokowiAmin 
#Jokowi1KaliLagi 
#JokowiLagi 
#pilpres 
#pilpres2019 
#GenerasiOptimis #4TahunJokowi
#01indonesiamaju 
#01JokowiLagi",1
44,Azmi Abdul Azis,ayo jokowi maju #jokowiamin #kyaimarufamin #pilpres2019 #jokowi2periode #jokowilebihbaik #cjraminkanjokowi,1
45,Indonesia Hatiku,"#01JokowiLagi #01IndonesiaMaju #01JokowiPresiden #2019TetapJokowi #2019PilihJokowi 
#StopHoax #StopPolitisasiAgama #pilpresdamai #pilpres2019  #cawapres2019 #hoax #StopHoax #ahmaddhani #PilihYangPastiJokowi #JokowiRangkulSemua",1
46,K.H. Ma’ruf Amin,"Bismillahirraahmanirrahiim.
Kemarin malam, saya menghadiri Rapat Koordinasi Nasional (Rakornas) Lembaga Dakwah Nahdlatul Ulama (LDNU) se-Indonesia di Auditorium Binakarna, Hotel Bidakara, Pancoran, Jakarta Selatan.

#01JokowiAmin #01JokowiLagi #01IndonesiaMaju #Pilpres2019 ",1
47,detikcom,"""BPN Prabowo kebakaran jenggot karena kepala daerah yang diusungnya justru mendukung Pak Jokowi. BPN Prabowo-Sandi makin panik,.."" kata Ace Hasan.
#Jokowi #Prabowo #PIlpres2019  ",0
48,detikcom,"""Saya malah lagi nunggu 3 orang PSI diproses karena saya sudah lapor polisi karena dituduh hoaks, dapat 'Kebohongan Award'. Grace sebaiknya ngaca,"" ucap @AndiArief__.
#PSI #Pilpres2019  ",0
49,#MusicProducer,Harold - Rapuh (Official Music Video) https://youtu.be/9q_WtbQcH0s  via @YouTube #KitaTetapPrabowoSandi #AhmadDhaniKorbanRezim #pilpres2019 #MulaiDuluAja #musicmonday #mondayMusic #thebidjis #soresyore #NP,0
50,#IAmASmartViewer,"Smart viewers, @rexyhernando bahas #evaluation #DebatPilpres2019 #DebatPertama #DebatPertamaPilpres2019 #Pilpres2019 #Pemilu2019 #Indonesia di #RUMAHDEMOKRASI.
#Indonesian #politik #politicslive #politicsnation #politics #democracy
#JforJoyousJanuary http://binus.tv ",0
51,Nábila.,This shit is gettin serious now in the house  #Pilpres2019 #2019AsikinAjaKuy pic.twitter.com/DNw4Wpli3W,0
52,Jaya Katwang,"Waduhh
#fahrihamzah #pks #pilpres2019 #pecahkubu",0
53,Republika.co.id,"Prabowo mendapat darah segar dari dukungan alumni 115 perguruan tinggi se-Indonesia. Tapi, ada lima catatan para alumni kepada Prabowo. Apa saja? #capres #Pilpres2019 @prabowo @Gerindra @KPU_ID",0
54,I H S A N,"Stop saying Indonesian economy is stable, strong, four-fold beneficial because it obviously is not, really. Saying such stipulation only manifests a boomerang to our economy and political growth #Pilpres2019",0
55,Republika.co.id,"Tabloid Indonesia Barokah beredar masif di sejumlah daerah di Pulau Jawa dan diduga Ingin Gerus Elektabilitas Paslon 02
@sandiuno @prabowo @jokowi 
#politik #indonesia #pilpres2019 #pemilu2019",0
56,Devi Ayu Rianti,"•
#jokowilebihbaik #jokowiamin #kyaimarufamin #pilpres2019 #jokowi2periode #jokowilebihbaik #cjraminkanjokowi",1
57,detikcom,"""Kalau soal sambutan rakyat terhadap kehadiran Pak Sandiaga Uno, ya itulah ekspresi kecintaan temen-temen tersebut kepada Pak Jokowi,"" ungkap Ketua TKD.
#Jokowi #SandiagaUno #PIlpres2019  ",0
58,detikcom,".@sandiuno diteriaki pendukung capres petahana @jokowi di Kabupaten Wonogiri, Jawa Tengah. Bagaimana tanggapan BPN?
#Pilpres2019  ",0
59,Liputan6.com,"Bertemu Komunitas Nasrani, Sandiaga Uno Janji Lindungi Semua Golongan https://goo.gl/8Q8j7T 

#Pilpres2019 #DebatPilpres2019 #DebatPilpresLiputan6 #DebatCapres",0
60,K.H. Ma’ruf Amin,"Semoga dengan Rakernas ini, gerakan dakwah @nahdlatululama ini semakin strategis dan selalu relevan dalam menjawab tantangan zaman karena tugas NU itu berat, yaitu menjaga agama dan menjaga negara.

#01JokowiAmin #01JokowiLagi #01IndonesiaMaju #Pilpres2019 ",1
61,K.H. Ma’ruf Amin,"Rakornas yang dihadiri 1.500 peserta ini mengangkat tema Penguatan Dakwah Ahlussunnah Wal Jamaah (Aswaja) An Nahdliyah di Era Millenial. Alhamdulillah kehadiran saya disambut meriah oleh para jamaah.

#01JokowiMaruf #01JokowiAmin #01JokowiLagi #01IndonesiaMaju #Pilpres2019 ",0
62,detikcom,"""Bukan cuma di Jateng tapi dimana-mana kepala daerah mendukung Pak Jokowi di kampung saya saja ada 12 kepala daerah yang mendukung Pak Jokowi di Sumbar,.."" ucap Andre.
#Pilpres2019  ",0
63,Indonesia Baik,"#pemilu1955 merupakan #pemilu yg pertama dlm sejarah bangsa Indonesia yg digelar secara nasional. Pada saat itu pemilu berhasil terselenggara dngn aman, lancar, jujur dan adil serta demokratis.
.
#Indonesiabaik #demokrasi #kpu #Pemilu2019 #pilpres2019 #pileg2019 #sejarah",0
64,NURUDIN,"Bangsa yang mulai kehilangan rasa humor. (Duta Masyarakat,  28/1/19) #dutamasyarakat #nurudin #Pilpres2019 #pilpres #DebatPilpres2019 pic.twitter.com/enIdMQYzj1",0
65,Evello,"Sebaran penggerak opini di twitter berdasarkan kuadran kinerja periode 1-28 Januari 2019. Kader2 @Pdemokrat seperti @AndiArief__, @Ferdinand_Haean, @Jansen_jsp & @RachlanNashidik memiliki tingkat interaksi tinggi.

#AnalisaEvello #BigData #Pilpres2019 ",0
66,Klinik Hukumonline,"Perbuatan-Perbuatan yang Termasuk Tindak Pidana Pemilu (Part I)

#KlinikHukum #MelekHukum #Pemilu #Politik #pilpres2019 #KPU",0
67,Prijanto Rabbani,"Tabloid Indonesia Barokah adalah contoh berpolitik yang tidak bermoral jelang #Pilpres2019 

Kalau berpolitik jauh dari nilai-nilai agama, pemimpin seperti apa yang engkau harapkan? 

#iDeasRabbani",0
68,Prijanto Rabbani,"Sandiaga Uno dimanapun kehadirannya selalu dipenuhi massa. 

Diakui atau tidak, Sandi mampu menjadi magnet dalam #Pilpres2019 

#iDeasRabbani",0
69,Prijanto Rabbani,"Dukungan para zuriat pendiri NU ke #PrabowoSandi akan merubah konstalasi politik di Jatim. 

Semoga ada kesempatan dan #AgendaRabbani ke Jatim, sehingga bisa memantau sekaligus memotret preferensi politik masyarakat Jatim di #Pilpres2019 

#iDeasRabbani",0
70,Republika.co.id,"Dukungan Partai Bulan Bintang (PBB) terhadap pasangan calon Joko Widodo-KH Ma'ruf Amin di pemilihan presiden (pilpres) 2019 semakin terang. 

Dengan dukungan PBB, akankah elektabilitas Jokowi meningkat?

#Republika #Republikacoid #Pilpres2019 ",0
71,KONTAN NEWS,Luhut nilai Prabowo tidak etis tuding Sri Mulyani menteri pencetak utang http://nasional.kontan.co.id/news/luhut-nilai-prabowo-tidak-etis-tuding-sri-mulyani-menteri-pencetak-utang … #Pilpres2019,0
72,Let's be Muslim,"Kemendagri: PKS Selalu Tepat Waktu Laporkan Dana Banpol http://www.2019pilihpks.com/kemendagri-pks-selalu-tepat-waktu-laporkan-dana-banpol/ …

#pksnomor8  #AyoLebihBaik #2019PilihPKS #pilpres2019 #2019PrabowoPresidenRI",0
73,siti badriah,"#jokowiorangbaik #01jokowimaruf #menujuindonesiamaju #01jokowimaruf #01jokowiamin #01indonesiamaju #jokowilagi #pilpres2019 #jkwaminhamterjamin #01indonesiamaju
#2019JokowiKyaiMaruf #IndonesiaMaju #01JokowiPresiden #selamatDatangIndonesiaMenang #01IndonesiaMaju",1
74,Yayat Ruhiyat,#Pilpres2019 #Pileg2019,0
75,Halo! KBR,"Nah, formasi lengkap nih Alternative Band @hujanmusimpanas ngobrolin ""Apa Kata Anak Muda soal #Pilpres2019'? Masih kami kulik di #RuangPublikKBR 9-10 WIB.

Yang mau gabung, sila via phone bbs pulsa 0800-140-3131

Di Jakarta via @powerfm892 

LIVE FB https://www.facebook.com/beritaKBR/videos/816226002046752/ …",0
76,detikcom,"Gerindra tak menyoal dukungan PBB ke @jokowi-Ma'ruf Amin di Pilpres 2019. Gerindra yakin banyak kader dan simpatisan PBB yang mendukung @prabowo-@sandiuno.
#Pilpres2019  ",0
77,Reva Agatha,"Siapa yg tdk butuh infrastruktur?
#TolTransJawa memangkas jarak melancarkan usaha

#PUPRSigapMembangunNegeri …",0
78,BANG GUN,"Memilih Jokowi-Ma'ruf Amin di #Pilpres2019 Menjadi Kewajiban Demi Indonesia Maju dan Masa Depan Bangsa ...

#MulaiDuluAja 
@WawanPurwandl",1
79,Republika.co.id,"Kalau kamu, apakah kamu akan memilih caleg mantan narapidana kasus korupsi yang mencalonkan diri lagi? 
#KPU #Pilpres2019 #Republika #Republikacoid",0
80,Evello,"#Debat, #Bawaslu, #KPU dan #IndonesiaBarokah menjadi berita dengan sebaran tertinggi di kanal #Facebook pada periode pantau 20-27 Januari 2018. 

#AnalisaEvello #Pilpres2019 #BigData #bigdataanalytics",0
81," ��
Kunto Hartono  
��","Duh....ojo Lebay ah, biasa mawon. 

PR Kita bersama..... : 
- Kurangi Meeting. 
- Kurangi Teori. 
- Banyakin Kerja, Praktek & Action di Lapangan utk memenangkan #PrabowoSandiUntukIndonesia di #PilPres2019 yg sdh mepet waktunya ini.",2
82,OPINI 2 SISI,"#OPSIMetroTV #WaswasOpsiGolput Senin (28/1) LIVE pkl 20:05 WIB bersama Aviani Malik di @Metro_TV
#knowledgeToelevate #metrotvindonesiamemilih #debatpilpres2019 #pilpres2019 ",0
83,andriani,"Mengapa kita harus tetap pilih Pak @jokowi ?
Krn beliau berpikir & bekerja hanya demi kemajuan kualitas bangsa Indonesia. Dunia pun mengakui keberhasilannya.…",1
84,Republika.co.id,"@ErickThohir optimis Presiden @jokowi akan melanjutkan kepemimpinan melalui #Pilpres2019
#politik #republika #republikacoid",0
85,Hermès,"Satuju pisan, teteh! #Pilpres2019  ",0
86,irineगायत्री,"https://www.liputan6.com/pilpres/read/3880356/akhiri-perbedaan-pbb-sepakat-dukung-jokowi-maruf-di-pilpres …
well, why not then? #coalitionbuilding #election #Pilpres2019",0
87,K.H. Ma’ruf Amin,"Jika itu terjadi sangat kita sayangkan. Jangan sampai persaudaraan kita retak hanya karena perbedaan-perbedaan. Terus pelihara persaudaraan dan ukhuwah.

#01JokowiAmin #01JokowiLagi #01IndonesiaMaju #Pilpres2019 ",1
88,@agnotoisme,"Debat capres ke 2 will be lyke,
#PrabowoIndonesiaMenang 
#JokowiLagi 
#Pilpres2019
#BacotJancok",0
89,detikcom,".@sandiuno berjanji bila terpilih dalam Pilpres nanti, ia akan meningkatkan kesejahteraan guru honorer. Ini katanya:
via @detikfinance
#SandiagaUno #PIlpres2019  ",0
90,detikcom,"Tim Kampanye Nasional (TKN) @jokowi-Ma'ruf Amin membuat buku saku bertajuk 'Hijrah Menuju Indonesia Maju'. Apa isinya?
#Jokowi #MarufAmin #Pilpres2019  ",0
91,Prijanto Rabbani,"Temuan kami di berbagai daerah tatkala ada #AgendaRabbani 

Dukungan kepada #PrabowoSandi begitu besar, dan kalaulah mendukung #JokowiMaRuf mereka mengaku hanya pura-pura (terutama ASN dan karyawan BUMN) sebab khawatir dengan pekerjaan. 

#Pilpres2019 
#iDeasRabbani",0
92,K.H. Ma’ruf Amin,"KH Ahmad Fahrur Rozi, KH Abdulhadi, KH Syamli Muqsith, KH Fuad, dan KH Ramdlan Siraj.

Pertemuan kami dikhususkan untuk  mengonsolidasikan dan mempererat jaringan @nahdlatululama di Jawa Timur.

#01JokowiAmin #Pilpres2019 #01IndonesiaMaju #01JokowiLagi #JumatBerkah",1
93,K.H. Ma’ruf Amin,"Bismillahirraahmanirrahiim.
Alhamdulillah, saya sangat berbahagia dapat bersilaturahmi dengan kiai-kiai sesepuh NU di Surabaya rabu malam.

#JumatBerkah #01JokowiMaruf #01JokowiAmin #Pilpres2019 #01IndonesiaMaju #01JokowiLagi #2019JokowiKyaiMarufAmin",1
94,Amir S. Atazena,"Sy mantan sekretaris GP Ansor Kabupaten Ende mendukung penuh pasangan No. 02 @prabowo @sandiuno di #Pilpres2019 
#PrabowoSandiBerdikari 
#PrabowoSandiBerdikari 
#PrabowoSandiBerdikari 
#PrabowoSandiBawaSolusi 
#PrabowoSandiBawaSolusi 
#PrabowoSandi 
#PrabowoSandi",2
95,annisa normala,"Tgif #01jokowimaruf #menujuindonesiamaju #01jokowimaruf #01jokowiamin #01indonesiamaju #jokowilagi #pilpres2019 #jkwaminhamterjamin #01indonesiamaju
#2019JokowiKyaiMaruf #IndonesiaMaju #01JokowiPresiden #selamatDatangIndonesiaMenang #01IndonesiaMaju #jumatberkah",1
96,komang ramantya,Mendengar musiknya jd seakan melihat cuplikan dokumenter keluarga diktator Anastasio Somoza di Nikaragua atau Rafael Trujillo di Republik Dominika https://twitter.com/agusfathorrosi/status/1088084209095172097 …,0
97,#2019TetapJokowi,"Betul..

#2019TetapJokowi #2019PilihJokowi #2019PilihJokowiKyaiMaruf #JokowiAmin #01IndonesiaMaju #Pilpres2019 #KoalisiPrabohong #SandiwaraUno #Indonesia #Viral #WelcomeBackBTP #AhokBebas #BTPpulang #BTPOrangbaik",1
98,Hendry putra,"Morninggggg 
Welcomeback pak #WelcomeBackBTP 
#01IndonesiaMaju #01JokowiAmin #01JokowiMaruf #Pilpres2019 #JokowiUdahKasihBukti #JokowiKerjanyaNyata",1
99,Dr Alexander Arifianto,"Tapi kalo dikombinasi dengan survey2 pilpres..
- Koalisi JMA 56,2% (elektabilitas turun jadi 54%an)
- Koalisi PAS 26,2% (elektabilitas naik 35%an)…",0
100,Bayu Hadi | West Papua,"Ralph Regenvanu and His Misconception of International Relations

https://bit.ly/2SEnfQH   

#westpapua #freewestpapua #letwestpapuavote #fwpc
#papuawest #infowestpapua #westpapuanid West Papua
#Pilpres2019",0
101,Budi Satria,"See this video amazes me! 
#30haribercerita 
#pilpres2019 ",0
102,Dr Alexander Arifianto,"Indonesia watchers, here are the dates/topics/participants for the rest of presidential election debates (Source: Straits Times) ",0
103,Utami Alasia,"These Facts will Make You Question Free West Papua Australia Intention

https://bit.ly/2RpOT2z    

#westpapua #freewestpapua #letwestpapuavote #fwpc
#papuawest #infowestpapua #westpapuanid West Papua
#Pilpres2019",0
104,K.H. Ma’ruf Amin,"Bismillahirraahmanirrahiim.
Kita optimis warga Jawa barat semua ngahiji untuk nomor kosong hiji.

#MarufAmin #01JokowiAmin #01IndonesiaMaju #Pilpres2019 #Ngahiji #UrangSundaMenangkan01",1
105,#2019PrabowoPresidenRI,"Visioner.. 
#kemenanganrakyatindonesia
#PRASAN #PrabowoSandiUntukNKRI #Prabowo #Sandiuno #Pilpres2019  https://twitter.com/relawanprasan/status/1067675910294274048 …",2
106,Jaya Katwang,"Nahhh loohhh...
#prabowo #asing #prabowoproasing #pilpres2019 ",2
107,Eko Widiyanto,"Counting days~
@jokowi @khmarufamin_ #jokowiorangbaik #bantenikutkiai #debatpertamapilpres2019 #01jokowimaruf #menujuindonesiamaju #01jokowimaruf #01jokowiamin #01indonesiamaju #jokowilagi #pilpres2019 #jkwaminhamterjamin #jumatberkah #01indonesiamaju",1
108,Max Walden,WhatsApp on Monday announced it will limit how many times users can forward a message in an effort to fight “misinformation and rumours”. By no accident the decision was unveiled by the company in Jakarta ahead of April's presidential election #Pilpres2019 ,0
109,ANU Asia & the Pacific,"PODCAST: http://bit.ly/2S2w4GG 
Missed the first Indonesian presidential debate? @liamgammon, @tpjpower and @evewarburton review a ""disappointing"" display by the candidates in this episode of @newmandala's Audiopelago. #Pilpres2019 #DebatPilpres pic.twitter.com/t9KSqyN5KR",0
110,rroobx,"Hey @jokowi, your decision to release ABB would be the proverbial last straw that broke the camel's back. Count yourself losing 1 or a few votes from my side. Mind you, I would even go as far as taking the piss off and go vote for @prabowo.  #pilpres2019 #Asumsi #AlasanGakGolput",2
111,Rona,"With the fucking upcoming presidential election, people can’t get their fuckin heads right. Anything they’d do or say to justify their candidate to win. They just can’t think straight. Can you tell I’m fuckin fed up? #Pilpres2019 #DebatPilpres2019",0
112,Elliott Mann,WhatsApp restricts message-sharing to fight fake news https://bbc.in/2Dr6raj ,0
113,Sikumis.com,"New platform @sikumisku  ver1
#gerakanpetanimodern #bumdes #pasarlelang #agritech #pertanian #peternakan #perikanan #danadesa #pilpres2019 #fintech",0
114,Seulki Lee,Vote 'Dildo for Indonesia': rivals for president find young voters hard to please https://www.theguardian.com/world/2019/jan/18/vote-dildo-for-indonesia-rivals-for-president-find-young-voters-hard-to-please?CMP=share_btn_tw …,0
115,Danny,"Hi from Indonesia, I am so wonder how America end up with that President :)) and hopefully we don't end up having the same kind of President soon #Pilpres2019 ",0
116,ANU Asia & the Pacific,"Indonesian President Joko Widodo's record on human rights, transparent and accountable government and anti-corruption is ""highly dubious"", according to @tpjpower from @ANUBellSchool in @TheAtlantic. #Pilpres2019 #jokowi http://bit.ly/2Ho04J3 ",0
117,Taberez A Neyazi,"Here is the word cloud of sampled tweets from the #DebatPilpres2019, #Pilpres2019, #DebatCapres #NM4239  @annisa_beta",0
118,warganet,"Closing #DebatPilpres2019 Calon presiden @2019pastiPAS 
@sandiuno 

#debat 
#Pemilu2019 
#Pilpres2019 
#DebatCapres 
#PrabowoIndonesiaMenang 
#PrabowoIndonesiaMenang 
#PrabowoSandi 
#sandiagauno",2
119,Dr Alexander Arifianto,"Another interview I recently did with @bpolitics discussing the #debatpresiden2019  #Pilpres2019 and #prabowo is also online,",0
120,DediHermantoSamosir,Now watching rerun #Pilpres2019 debate on youtube.,0
121,Tika Aulia,"Ralph Regenvanu and His Misconception of International Relations

https://bit.ly/2SEnfQH   

#westpapua #freewestpapua #letwestpapuavote #fwpc
#papuawest #infowestpapua #westpapuanid West Papua
#Pilpres2019",0
122,Annisa FS,"Happy Weekend ya temen temen 

#01JokowiMaruf 
#01IndonesiaMaju
#Pilpres2019
#JokowiDiGarut
#JokowiMembangunDesa",1
123,Max Walden,"Indonesia’s first presidential debate showed neither candidate in the race has any plans to address human-rights abuses, writes @stanleywidianto #Pilpres2019 ",0
124,Taberez A Neyazi,"Political cynicism and the rising aspiration among the youths are now global phenomena that can not only unsettle political class, but are prime driver to the rise of populism #Pilpres2019 #NM4239",0
125,Dr Alexander Arifianto,"Must be another #Jokowi attempt to appease Islamists. Lets hope this won't backfire on him, #pilpres2019 #politikindonesia",0
126,Sigit Laksono,"Pernyataan @prabowo dan @POTUS pada debat #DebatPilpres2019 #DebatPertamaPilpres2019 #01UnggulDebat #JokowiAminMenangDebat #Debat1TerbuktiKerjanya #Pilpres2019
President Not the Chief Law Enforcement Officer or Above the Law https://www.johntfloyd.com/president-not-the-chief-law-enforcement-officer-or-above-the-law/ … via @HoustonDefender",1
127,ISIS Malaysia,".@Sinatrafalgar and @dwinthamaya were on Astro Awani Global to share their take on the 2019 Indonesian Presidential elections. Catch the full video below!

@501Awani #Pilpres2019 ",0
128,mochimchim,"Whoever said money cant solve your problems, must not have had enough money to solve them. #Pilpres2019 ",0
