,Username,Tweet,Kelas,,
13,Roy Lanek,"""[pro-Prabowo bigot] Taufiqurrahman opined that the statement [*Russia-style propaganda* AKA fake news, objectively THE specialty of Prabowo's camp] was a slander against his opponent[s] Prabowo Subianto - Sandiaga Uno and that should not be done during an election campaign."" %",0,,
14,yellow,"Yang share foto Sandiaga Uno dengan caption “daddyyy”

IM SORRY BUT PLEASE STOP ",0,,
15,Capital Profile,"Indonesia-based commercial lender Bank Kesejahteraan Ekonomi, backed by vice president candidate Sandiaga Uno, to go public this year https://bit.ly/2Rx8vBi ",0,,
16,USINDO,"On February 5, Pak Hashim Djodjohadikusumo will present the views of Presidential candidate Lt Gen (ret.) Prabowo Subianto and Vice-Presidential candidate Sandiaga Uno at our Election Series Luncheon. Event
by invitation only. ",0,,
17,halu news,welcome tv :) #bukanpendukungkirikanan,0,,
18,IDN Financials,"PT. Saratoga Investama Sedaya Tbk (SRTG), which shares owned by Sandiaga Uno, 2019 Indonsian Vice Presidential Candidate and Former Vice Governor of Jakarta, sold their assets to PT. Toba Bara Sejahtera Tbk (TOBA)
https://www.idnfinancials.com/id/n/21404/Saratoga-Investama-jual-aset-ke-Toba-Bara-Sejahtera …
#idnfinancials
 by Google Image Search",0,,
19,syahril,"DENGAN LEGOWONYA WOWO SERAHKAN PASLON 01-JokowiAmin.

Capres Prabowo Subiantosempat salah menyebut nomor urut pencalonannya di Pilpres 2019. Saat pidato dalam HUT ke-20  (FSPMI), Prabowo mengatakan dia dan cawapres-nya, Sandiaga Uno, nomor urut 01. ",0,,
20,CAK KHUM,"Cawapres Sandiaga Uno mendapat data terakhir yang menunjukkan ketidakpastian hukum di RI menyebabkan investasi dari luar negeri menurun.

Hukum tebang pilih, tajam ke oposisi tumpul ke petahana ini salah satunya.
#IndonesiaPilihPrabowoSandi",2,,
21,Ary Prasetyo,"JLEBBB..Alasan Alumni PL Tidak Dukung Sandiaga Uno
Krn kompetensi,krn pengalaman Pak @jokowi 

Alumni SMA Pangudi Luhur angkatan 1980-an mendeklarasikan diri utk mendukung paslon nomor 01 Jokowi-Ma'ruf Amin.Padahal cawapres nomor 02 @sandiuno merupakan alumni PL angkatan 1987",0,,
22,People Power,"Cawapres 02  Sandiaga Uno Kampanye Di Jambi di Sambut Meriah Sama Emak2 & Milenial
#JambiMenangkanPrabowoSandi",2,,
23,IRFAN,"Cawapres Sandiaga Uno Ke Petani Karet: Harga Karet Naik Itu No 1 Tapi Kalo Pilih Presiden Itu Nomor... 2  Mantaaabbb... 
#JambiMenangkanPrabowoSandi",2,,
24,Ayu Basuki #2019PrabowoPresidenRI,"UMKM Harus didukung dari perizinan hingga permodalan. Karena 80 persen usaha rakyat ini adalah UMKM,"" jelas Sandi kepada penggiat UMKM Jambi

#JambiMenangkanPrabowoSandi
#JambiMenangkanPrabowoSandi",2,,
25,Nasrul_Nurdin,#TitikTemuSandi #sandiagauno #sandiagaunoitukeren #2019PrabowoPresidenRI Cawapres Milenial. @ruangsandi @sandiuno @sobatsandi @RelawanProSandi @gerakanmilenial @RumahSandiuno @RumahSandiuno @kawanprabowo @smngtindonesia #milenialpilihprabowo #MilenialsTeam,2,,
26,mei Amoy kecil 他很米兰,"Sandiaga Uno dapat sambutan Meriah 
Ala Jokowi  .
Sakit tuh Sandiaga Uno saat melintas di kecematan Samampir Surabaya, Sandiaga Uno disambut""Hebob oleh 
pedukung #01JokowiAmin #Jokowi sekali lagi.
#jokowilagi 
#01JokowiBersihMerakyatKerjaNyata",1,,
27,seword,"Wah, nggak nyangka! Di Kecamatan Semampir Surabaya, Sandiaga Uno  disambut sangat meriah 

#AnakPLPilihLelakiSejati",0,,
28,Muhammad Quake,,0,,
29,mei Amoy kecil 他很米兰,"Sakit tuh Sandiaga Uno Alumni Pangudi Luhur ""Sandi...Out Jokowi th di teriakkan  
Saat Alumni Sandiaga Uno mendukung 
Jokowi -Ma'ruf Amin ",0,,
30,IRFAN,"Meriah... Sandiaga Uno Diserbu Emak2 di Pasar Pelelangan Ikan Kendari, Sultra
#SultraMenangkanPrabowoSandi",2,,
31,IRFAN,"Pecahhh... Sandiaga Uno Kunjungi Pasar Raya Padang, Sumbar
#SumbarMemilihPrabowoSandi",2,,
32,SOEMAKTOR,"Di bawah saling maki, saling cakar. Di atas hidup tetap normal. 

Intinya mereka juga cari makan, kita aja yang mau dibodohi.

Sandiaga Uno, pemilik PT Saratoga Investama Sedaya Tbk (SRTG) menjual seluruh kepemilikan sahamnya di PT Toba Bara Sejahtera Tbk (TOBA) milik Luhut. ",0,,
33,Sandiaga Salahuddin Uno,"Acara launching merchandise Sandiaga Uno bersama Iqbal Buchori, Founder of Sandi Uno Merchandise), Ria Ricis, salah satu Youtuber dengan jumlah subscriber terbanyak, dan Abdur, stand up comedian dengan gaya timurnya. Terima kasih buat semua yang sudah memeriahkan acara ini. ",0,,
34,Andreas Harsono,"After visiting musician Ahmad Dhani in prison after his conviction under the ITE Law, Sandiaga Uno posted a video on his Instagram account with a caption promising to revise the law and remove the “elastic” clauses it contains. https://www.thejakartapost.com/news/2019/02/03/sandiagas-pledge-to-revise-ite-law-meets-with-skepticism.html …",0,,
35,"�������� �_���  
��",full link:,0,,
36,Tempo English,Sandiaga Uno Pledges to Revise ITE Law after Visiting Ahmad Dhani http://dlvr.it/QxxGr0 ,0,,
37," �
#2019GantiPresiden  
�","#YangGajiKamuSiapa 
#TinggalkanPBB 

HADAPI DG SENYUMAN
Feat : Sandiaga Uno

Hukum jangan dipakai untuk memukul lawan dan menolong teman
 
Hukum itu tegak lurus, jangan tajam ke satu sisi, tumpul ke sisi yang lain ",0,,
38,Nuice Media,"VP candidate Sandiaga Uno said if elected, revising the controversial ITE law will be ""one of our top priorities"" after visiting singer Ahmad Dhani who is jailed for his tweets. The law has been in place for more than 10 years now and it has victimized 381 people. pic.twitter.com/Pe7k7otbvh",0,,
39,Prabowo-Sandiaga Uno,"Parpol bersekongkol membara,Mengusung calon tuk sandiwara
Memikat para kongko pejabat,Tuk memanipulasi suara rakyat
Fajar merangsang,Hanya penguasa bermandikan uang…",0,,
40,Rahma Ayu,"Apanya yg mau dipoles ?
Sudah mentok . 
Saya pilih Sandiaga Uno saja, yang asli ORI ga perlu dipoles.
Maafkan atas kejujuran saya ini pak Kyai.

#17AprCoblos02
#2019PrabowoSandiMenang",2,,
41,ruangsandi,"@sandiuno siap menebas harga mahal dan memberantas minimnya lapangan kerja.

#RuangSandi
#SandiagaUno
#IndonesiaMenang 
#2019SaatnyaPemimpinMuda",2,,
42,Acox Duko,"Kunjungan Calon Wakil Presiden  02, Sandiaga Uno menemui para petani karet Desa Ness, Jambi Luar Kota, Muaro Jambi. 

Tidak hanya berinteraksi, tapi juga ikut menyadap karet, mantap Bang.

Bersama @prabowo @sandiuno 
#JambiMenangkanPrabowoSandi 
#JambiMenangkanPrabowoSandi",2,,
43,Ayu Basuki #2019PrabowoPresidenRI,"Pemimpin yang baik itu lebih banyak mendengar bukan bicara...
Mensejahterakan petani adalah salah satu misi dan visi pak @prabowo @sandiuno
Mewujudkan Indonesia Adil dan Makmur

#JambiMenangkanPrabowoSandi
#JambiMenangkanPrabowoSandi",2,,
44,melekpolitik.com,"Viral lagi, Panama Papers Seret Nama Prabowo dan Sandiaga uno http://www.melekpolitik.com/2019/02/07/viral-lagi-panama-papers-seret-nama-prabowo-dan-sandiaga-uno/ … via @melekpolitikcom",0,,
45," �
#2019GantiPresiden  
�","#CapresPilihanNetizen #pkbday
#FadliZonBegalUlama #saya01
#GraceNatMenangkanJokowi 
#JkwHOAX #PLANGA #PLONGO

Ingat Ya Guys, Suatu Keahlian diperoleh dari Pengulangan dan Terus Belajar

Never GIVE UP

Seperti Abang Gantenk Sandiaga Uno, Cawapres kita ",1,,
46,"Inlander  
�
Ndeso 
�","Jokowi Kaget.
50 angkatan perwakilan PL Bersatu, teman2 @sandiuno deklatasilan dukungan kepada pasangan 01.
#PLbersatuBersamaJokowi
#OrangPintarPilihJokowi",1,,
47,IRFAN,"Datang Di Kendari Sultra Sandiaga Uno Disambut Histeris Emak-Emak
#SultraMenangkanPrabowoSandi 

https://kumparansultra.com/datang-di-kendari-sandiaga-uno-disambut-histeris-emak-emak/ …",2,,
48,Abah Ka'Ab,"Warga Madiun itu Sopan tapi juga tegas dan kukuh dalam berpendirian. 
Cukup dgn spanduk saja menyambut capres Sandiaga Uno. ",0,,
49,Abiyyu #2019PrabowoPresidenRI,"Dirgahayu Partai Gerindra ke 11 Tahun

Semoga partai ini bisa terus mengabdi kepada Bangsa Indonesia

Prabowo Presiden, Sandiaga Uno Wakil Presiden, Indonesia Menang!

#DirgahayuGerindra 
#DirgahayuGerindra",2,,
50,Logan Peter,"dimenit ke 44 prabowo mengatakan yg tidak dukung sandiaga uno adalah antek aseng,  maksutnya opo pak, jadi massyarakat kita dikatakan  orang asing ? bpk sudah jls sng pro asing, malah mengatakan antek aseng,, 
#02ProAsing - #FadlizonHinaUlama #Atheisdi02 #DS05 aseing pic.twitter.com/cfmhS7PknM",0,,
51,Agaujagau,Bp Cawapres Sandiaga uno di Palangka Raya dalam rangka penkuluhan para relawan pemenangan no 2 pd pilpres ,0,,
52,RelawanMetal#01JakartaPusat,"Prabowo selalu berkampaye tentang ‘bocornya’ uang Negara yang dicuri pihak Asing. Tahukah kita bahwa nama Prabowo dan Sandiaga Uno tercatat sebagai pengusaha Indonesia yang melarikan pajak (Offshore) dalam skandal Panama Paper?
#jokowilebihbaik",1,,
53,"JM _  
�
#MésQueUnClub","Nyali kecebong kog di lawan..
Aceh punya 
 Bodyguard nya sandiaga Uno seram amat .. hihihi... 
#JokowiLagi 
#JokowikanJakarta 
#JatengMenangkanJokowi",1,,
54,"Teuka 
0️⃣
 2️⃣","Istri Sandiaga: 212 Kita Doa Bersama, Kalau Bisa Kita Penuhi Masjid

Istri cawapres Sandiaga Uno, Nur Asia, mengajak warga utk doa bersama pada 21 Februari mendatang. Doa itu digelar sebagai ikhtiar pemenangan Prabowo-Dandi di Pilpres 2019.",0,,
55,Ain Malik,"""...power tends to corrupt, absolute power corrupts absolutely""..... Komitmen thd atmosfer demokrasi sejak awal, 02 memberi bukti, bukan janji..... Cawapresku memang beda 
#DarahMuda
#DarahMuda",0,,
56,mr joe,"Tetap semangat 
INDONESIA PRABOWO dan 
SANDIAGA UNO ",2,,
57,Cahya Cahayaa,"PRABOWO-SANDIAGA UNO,PEMIMPIN KOMPAK SIAP HADIRKAN KABINET YANG KOMPAK

colek @dulatips @putrabanten80 @JackVardan @ices_tea @HotPepperminTea 
bantu RT..YA

#IndonesiaButuhPerubahan02
http://www.jurnalutama.com ",2,,
58,Doradong,"Dari Ahmad Dhani hingga Rocky Gerung menjadi target rezim 

Kedepannya tinggal nama Prabowo Subianto dan Sandiaga Uno yang jadi target bahan untuk dibusukkan 

Seperti rangkaian kicauan kami yang akhirnya terjadi

Kontestasi ala rezim pic.twitter.com/0wa3zpUPBa",0,,
59,ibnu rahmaida,"Gue seneng denger pas bagian.
""Indonesia Prabowo""
""Indonesia Sandiaga Uno""

Apalagi saat semuanya mengayunkan tangan dan memberikan salam 2 jari.

#AhmadDhaniDiKriminalisasi 
#AhmadDhaniKorbanRezim",2,,
60,Wahyu Manitis,"Sandiaga Uno itu keren, Banyuwangi Internasional Run 2015 adalah Gagasan Sandiaga Uno.
#AkalSehatPilihPrabowoSandi 
#JkwMentokDi5Persen",2,,
61,Richobaztianz,"""Selamat Datang Bpk Sandiaga Uno di Dolopo,Kab Madiun. Tapi Mohon Maaf Pilihan Kami Sudah Tetap Jokowi-Ma'ruf""

Kami sudah muak dengan cara akal bulusmu yang selama ini kau ajarakan untuk membodohi masyarakat
#SandiwaraUno
#OrangPintarPilihJokowi
#01JokowiLagi 
#01JokowiAmin pic.twitter.com/1hsVpGVba0",1,,
62,"Baim Bali  
0️⃣
 2️⃣","Cool ,,, Tajir,,, Ganteng,,, Alim,,, CERDAS  SANDIAGA UNO CAWAPRES 02 millennials 
#AkalSehatPilihPrabowoSandi

@sandiuno 
@Dahnilanzar 
@rockygerung 
@hputrasoeharto 
@Surgabidadari3 
@BangPino_",2,,
63,"ayya  
�","Masya Allah..
Alhamdulillah wa Syukurillah..

Kabar News : Sandiaga Uno di do'akan oleh para penghafal Al-Qur'an di Gaza-Palestina..

Untuk menang dalam PILPRES sebagai pasangan Prabowo Subianto..

#SultraMenangkanPrabowoSandi 
#SultraMenangkanPrabowoSandi",2,,
64,"Pujangga_ 
�
#1 
�
 ��
 �‍♂️","Episode drama politik yang diwarnai sebutan ""jenderal kardus"", ""jenderal baper"",  dan ""mulut comberan"" di awal pencawapresan Sandiaga Uno masih berlanjut.  PSI Mendesak Bawaslu utk mengusut kembali kasus MAHAR POLITIK 500M ini. 

https://www.kompasiana.com/dalbokondo/5c5bb2d6ab12ae51913238a4/urusan-mahar-sandi-kembali-digugat … pic.twitter.com/z7J557L7mf",0,,
65,Retha Azzahra Arumsari,Wow kocak! sekolahnya Sandiaga Uno aja pilih Jokowi. #CapresPilihanNetizen #FadliZonBegalUlama @ulinyusron @Uki23 @TheArieAir @sy_haris @SutanRiska @sejutateman @ruhutsitompul @RizmaWidiono @putra_bisma12 @permadiaktivis @PartaiSocmed @MurtadhaOne @kangded,0,,
66,CAK KHUM,"Apakah media sudah mulai berlaku netral?

Saya lihat dua hari ini media mulai terus terang membuat judul yang mengkritik JKW, dari masalah janji pertumbuhan ekonomi 7% yang dibilang hanya tinggal mimpi

#200SekolamJualUlama",0,,
67,IRFAN,"Sandiaga Uno Tiba Di Kendari, Emak-Emak Menunggu Di Pelelangan Ikan
#SultraMenangkanPrabowoSandi 

https://kendaripos.co.id/2018/12/sandiaga-uno-tiba-di-kendari-ratusan-emak-emak-menunggu-di-pelelangan-ikan/ …",2,,
68,Andi Basso,"wah asyik nih Universitas Airlangga @Unair_Official berani tunjukkan jati dirinya, undang cawapres Sandiaga Uno sbg pembicara utama dlm diskusi panel ""Membangun Indonesia Sebagai Pusat Syiar Islam Dunia Dalam Era Globalisasi"" ayo KAMMI, PKS, HTI dll sukseskan tujuan mulia ini ",0,,
69,IRFAN,"Kampanye Di Padang Sandiaga Uno Ajak Amak-Amak Goyang 2 Jari   
#SumbarMemilihPrabowoSandi 
https://news.detik.com/berita/d-4263728/kampanye-di-padang-sandiaga-uno-ajak-amak-amak-goyang-dua-jari …",2,,
70,mei Amoy kecil 他很米兰,"Kabu Prabowo, Sandiaga uno bakal Hidupksn  PKI dan HTI demi kemenangan. apapun kampret lakukan asal tercapai kerakusanya. Ibarat binatang buas anak sendiri pun di makan. astagfirullahaladzim...
yg menuduh PKI dulu yg mulia pki dan mendukung Pki Mereka sendiri juga 
ngeri ",0,,
71,Wahyu_Manitis,"Sandiaga Uno, Ingin #Aceh Jadi Pusat Ekonomi Halal Dunia.
#PrabowoIndonesiaMenang 
#AcehPilihPrabowoSandi",2,,
72,Valhalla Asgard,"Pengusaha sandal rumahan asal Tangerang, Banten, Eko menangis sejadi-jadinya di hadapan @sandiuno. Dirinya curhat atas derasnya sepatu & sandal impor yg membuat bnyk pengusaha lokal gulung tikar.

#BantenMemilihPrabowoSandi",2,,
73,ruangsandi,"Dateng yuk, besok kita ngobrol seru & launching branding mobil SANDIAGA UNO di Media Center #PrabowoSandi 

Insya Allah selanjutnya mobil ini akan tur pulau Jawa untuk menuju #IndonesiaMenang",2,,
74,Vox Jax,"Biar gak dituduh sebar hoax dan distigma hoax.Sandiaga Uno waktu itu menyampaikan keluhan nelayan ya wajar diberitakan.

Sekarang Nelayan sampaikan keluhan juga ke Jokowi. Jadi sampai sini paham gimana role of model ""Teriak Nyaring"" keciduk kemudian. https://m.detik.com/finance/berita-ekonomi-bisnis/d-4408001/jokowi-tegur-susi-soal-izin-usaha-perikanan-tangkap#Echobox=1548893302 …",0,,
75,indri,"KPK mulai diarahkan untuk merusak reputasi sandiaga uno

Sementara dugaan korupsi JokowiAhok yang bejibun banyaknya diabaikan @KPK_RI",0,,
76,#2019PrabowoPresidenRI,"berdasarkan survei di Sulawesi banyak yang memilih paslon 02 karena sosok Sandiaga Uno yang dianggap mewakili milenial dan disukai kaum emak-emak.
@ices_tea @harysantana  @RPSSULSEL @Rusydi_riau40 
@DLukas_________  
#SultraMenangkanPrabowoSandi 
#SultraMenangkanPrabowoSandi",2,,
77,Indonesiaku tercinta,Emak emak melenial yg lagi ngetren.. 02 slalu.. P. Prabowo Sandiaga Uno ,2,,
78,Cebong Pinggiran,"Dukungan Alumni Pangudi Luhur

""Sandi...Out""

Saat Alumni Sandiaga Uno mendukung 
Jokowi -Ma'ruf Amin pic.twitter.com/36bbW7kdKx",0,,
79,Najwa#2019gantipresiden,"Nissa Sabyan mengaku tidak percaya bisa bertemu dengan Sandiaga Uno....
Yang Yakin PrabowoSandi menang Rt-----------
Yang Yakin PrabowoSandi pasti menang Rt&Like--------- ",0,,
80,TrioMacan Bkl,Sandiaga Uno Bakal Sapa Emak-Emak Bengkulu https://kabarrafflesia.com/2019/02/sandiaga-uno-bakal-sapa-emak-emak-bengkulu/?utm_source=dlvr.it&utm_medium=twitter …,0,,
81,"コリーナ  
�","Bagi Pak Prabowo, saat ini kepentingan pribadinya sudah selesai.
blio berpasangan dg Sandiaga Uno hanya ingin membantu Indonesia menjadi negara yang berdaulat dlm segala hal. Sesuai dengan apa yang diamanahkan oleh para pendiri bangsa.
#indonesiaAdilMakmur ",2,,
82,Darmawan,"Tak jarang, meme para alumni Pangudi Luhur pendukung Jokowi itu berisi sindiran kepada Sandiaga Uno, calon wakil presiden nomor urut 02 yang notabene sesama alumni PL. Salah satu meme misalnya bertuliskan, “Bro, we are brothers but we are bothered.”
#AnakPLPilihLelakiSejati",2,,
83,"#INDONESIA_NTB 
0⃣
 2⃣","Wow...

Antusias masyarakat kalimantan tengah Palangkaraya menyambut bang @sandiuno Tak terbendung…",0,,
84,"Adinda Azzara  
�","Wow ini keren bingitt..

Cawapres @sandiuno Tularkan Semangat Lewat Merchandise Unik. Sangat"" Menginspirasi 

Emang Cucok Marucok 
#PrabowoSandiUntukIndonesia",2,,
85,UrangBanua #2019PS08,"InsyaAllah seluruh Kalimantan menangkan Prabowo - Sandiaga Uno.
Agar terwujud Indonesia Menang, Adil dan Makmur.

#KalbarMenangkanPrabowoSandi 
#KalbarMenangkanPrabowoSandi 
#KalbarMenangkanPrabowoSandi",2,,
86,Aguser,"Cawapres Sandiaga Uno mengunjungi tempat pelelangan ikan di Pelabuhan Tasikagung, Rembang, Jawa Tengah. 

Berikut detik-detik Sandiaga Uno diteriaki nelayan dan petani garam pendukung JOKOWI..

#OrangPintarMenangkanJokowi",1,,
87,dipo negoro,"PRABOWO diberi gelar ""Star Of Soekarno""

SANDIAGA UNO diberi gelar ""Raden Wira Arsana""
 
Lha kok OJOKUWI bangga sekali diberi gelar ""Cak Jancuk"" ",0,,
88,#RelawanProSandi #2019PrabowoPresidenRI,"All of the NTB Elements together we are fighting to win Prabowo Sandiaga Uno Presidency and Vice President 2019
#NTBPilihPrabowoSandi",2,,
89,Vox Jax,"Dulu rame-rame Bully Sandiaga Uno perkara izin kapal. Sekarang Pak Jokowi Sendiri yang menegur Ibu Susi. Ingat betul, ada orang yang modal berita doang tanpa Survey kelapangan berbusa di Media Sosial. Kayak @GunRomli ini.",0,,
90,yanto,sesepoh dan cucu sunan kalijogo demak kota wali mendukung sandiaga uno. ,0,,
91,TV 2,"Sandiaga Uno Bertemu dengan Petani Garam & Nelayan di TPI Tasikagung Rembang, Jawa Tengah. 

Jangan lupa ramaikan #SulselPilihPrabowoSandi",2,,
92,jhony,#AhmadDhaniKorbanRezim,0,,
93,"Teuka 
0️⃣
 2️⃣","Bertemu Sandiaga Uno, Pengusaha Ini Keluhkan Janji Manis Jokowi

Pemilik pabrik produksi alat-alat pertanian di Madiun, Agus Zamroni, mengeluhkan janji pemerintahan Jokowi yg membuatnya nyaris bangkrut beberapa tahun lalu. 

#2019GantiPresiden",2,,
94,danielcaramoy,Sudah terbit buku berisi motivasi hidup bahagia ala babang tamvan Sandiaga Uno. Cukup infak Rp65 ribu. Minat silahkan hub WA:081274665660. @ardi_riau @Fahrihamzah @fadlizon @fahiraidris @sandiuno @PRABOWO___SANDI,0,,
95,Kakek Detektif,Masih mau ikut program OK OCE besutan Sandiaga Uno..? #AkalSehatPilihPrabowoSandi #AnakPLPilihLelakiSejati,2,,
96,IRFAN,"Luar Biasa Antusias Masyarakat Minang Menyambut Sandiaga Uno
#SumbarMemilihPrabowoSandi pic.twitter.com/HUUOO6y5q6",2,,
97,eRHa,Lucu aja ternyata benar nich kata #sandiagauno ,0,,
98,Valhalla Asgard,"Kedatangan @sandiuno ke Pasar Raya Padang disambut antusias oleh warga yg didominasi kaum ibu. Yel-yel ""Uda Sandi"" diteriakkan oleh pendukung

""Ya Allah ganteng sekali @sandiuno,'' celetuk seorang remaja saat melihat scr langsung
#SumbarMemilihPrabowoSandi",0,,
99,F-P-I,"Hari ini ada Babang Tamvan Sandiaga Uno di ""Sarang"" Emak2 Batik Laweyan Solo..

Hari ini Bang Sandi milik Emak2 Laweyan Solo.. Emak2 Daerah lain harap bersabar..

#MASJIDPusatPeradabanUmat
#MASJIDPusatKekuatasnUmat pic.twitter.com/BG4X426GV8",2,,
100,Gemakopin,Cawapres Sandiaga Uno no urut 02 dalam sambutan Deklarasi GEMAKOPIn di Sumedang Jawa Barat disambut komunitas Koperasi dan masyarakat yang membludak pic.twitter.com/602zCn7S1G,0,,
101,UrangBanua #2019PS08,"SATUAN Relawan Indonesia Raya telah mengakar di masyarakat Kalimantan Barat.
Pengurus Daerah Satria Kalbar yang diketuai Anwar Syadad Lubis ini sudah siap sepenuhnya memenangkan Capres Cawapres, Prabowo - Sandiaga Uno di Kalimantan Barat.

#KalbarMenangkanPrabowoSandi pic.twitter.com/Dpkp1QSVmm",2,,
102,Koloneldemonstar,"Bersama Basudara sesama Relawan Batu Api - Garuda Emas, untuk Prabowo Subianto & Sandiaga Uno. ",2,,
103,#2019PrabowoPresidenRI,"KEREN!! Buka Lapangan Kerja Seluas-luasnya Untuk Milenial, Sandiaga Uno Luncurkan GeKrafs https://bit.ly/2G785Am ",0,,
104," �
Airin_NZ 
�","Org ini nekad menerobos kerumunan, membelah pengawalan dan meneriakan ""Jokowi...Jokowi"" tepat di gendang telinga Sandiaga Uno...!!

Savage ",0,,
105,Dakwah Batam Rebond,"Sandiaga Uno nyanyi #TributeToAhmadDhani
Menurutku
#JgnPilihPembohongRakyat 
Gak Boleh &
#GakMauKetipuLagi 
Kataku
#SiapaBilangRezimProRakyat 
Lalu
#PikirLagiPilihPembohong 
Selalu
#JualanJanjiBohongiRakyat",2,,
106,Wahyu Manitis,"Rasa kepedulian dan ke ikhlasan Cawapres 02 Bang Sandiaga Uno Tak diragukan lagi, penderitaan Gempa Lombok sangat menggugah hatinya. Bang Sandi memberikan dari uang pribadinya.....Simak video. Biar tidak di kira pamer. Viral!!
#NTBPilihPrabowoSandi 
#MilenialPilihPrabowoSandi",2,,
107,deTawakal,"Milenial Kompak Ayunkan Dua Jari dan Dendangkan Lirik Gubahan:

""Indonesia Prabowo""
""Indonesia Sandiaga Uno""

#PrabowoIndonesiaMenang",2,,
108,K.H. Iyut~Kafir Hybrid Iyut,"...Hanya karena Jaenudin Ngaciro, junjungan mereka, kerap melakukan pencitraan saat kondisi bencana lantas mereka menganggap bahwa Sandiaga Uno pasti memiliki moral busuk serupa junjungan mereka...Susahnya berantas hoax yah begini, dilestarikan rezim dan pendukungnya sih... (``,)",0,,
109,MS Kaban,"Masih berlangsung ta'lim drumah diisi ustadz Ansufri Sambo,hadir juga ny Cawapres Sandiagauno, ustadz Muhammad al habsyi.Pilih Bulan Bintang pilih Prabowo Sandi Presiden RI 17 april 2019. ",2,,
110,Siaran Nasional,Prabowo Subianto-Sandiaga Uno : Kami Politik Damai ,0,,
111,Valhalla Asgard,"Kedatangan @sandiuno ke Kota Padang, disambut histeris emak-emak.

""Hidup @prabowo Sandi... Bang @sandiuno wakil presiden kita, Prabowo-Sandi Insya Allah menang,"" sorak para pendukung Sandiaga.

#SumbarMemilihPrabowoSandi",2,,
112,"Yang HaQ  
✌","#KalbarMenangkanPrabowoSandi 
#KalbarMenangkanPrabowoSandi 
Dimana bumi dipijak disitu langit diJunjung'......budaya santun ketimuran harus dijaga',, hasilnyapun pasti terasa'    Sandiaga Uno Berkunjung ke Kesultanan Kadriyah Pontianak ",2,,
113,Bekasi01metal,"Prabowo selalu berkampaye tentang ‘bocornya’ uang Negara yang dicuri pihak Asing. Tahukah kita bahwa nama Prabowo dan Sandiaga Uno tercatat sebagai pengusaha Indonesia yang melarikan pajak (Offshore) dalam skandal Panama Paper?
#jokowilebihbaik",1,,
114,BANG JARWO,"Ayo silahkan temen temen yg suka dengan Kaos KEREN dan Kemeja ini,bisa langsung pesen hubungi Pak Sandiaga Uno.  pic.twitter.com/bi9CQ4jt6y",0,,
115,CAK KHUM,"Sandiaga Uno jadi Rebutan Warga Aceh, Sementara itu yang satunya lagi sibuk sama hoax Propaganda Rusia

Kalau punya bukti laporkan saja Pak.
#PrabowoSandiIndonesiaJaya",2,,
116,Siaran Nasional,Sandiaga Uno Sangat Di Sambut Dengan Adat Dayak ,0,,
117,Dunia anda,"Sandiaga Uno telah bersandiwara utk membohongi publik dgn membuat sebuah unggahan status di akun Instagram miliknya. Dalam akunnya, @sandiuno mengunggah gambar seorang wanita yg menangis histeris ketika ingin meminta foto bersama dirinya saat berada di Sumedang, Jawa Barat",0,,
